pick_rank	seed	split	manuscript_window	relaxed	traj_idx	n_steps	true_step	true_agent	base_pred_step	base_pred_agent	soap_pred_step	soap_pred_agent	offset	gold_base_rank	gold_final_rank	soap_margin
14	2	test	True	False	42	6	1	Verification_Expert	3	ProblemSolving_Expert	1	Verification_Expert	2	2	1	0.007256757467985153
15	4	test	True	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.006721891462802887
16	2	test	True	False	46	7	1	Behavioral_Expert	2	Validation_Expert	1	Behavioral_Expert	1	3	1	0.004841657355427742
17	3	test	True	False	65	6	1	VideoContentAnalysis_Expert	2	Computer_terminal	1	VideoContentAnalysis_Expert	1	3	1	0.001791924238204956
18	4	test	True	False	9	5	1	GameTheory_Expert	2	VerificationExpert	1	GameTheory_Expert	1	3	1	0.00026419758796691895
19	3	test	True	False	9	5	1	GameTheory_Expert	2	VerificationExpert	1	GameTheory_Expert	1	3	1	0.00016856007277965546
20	7	test	False	False	56	10	5	Validation_Expert	9	Computer_terminal	5	Validation_Expert	4	4	1	0.001902913674712181
21	15	test	False	False	95	10	5	AcademicPublication_Expert	7	Verification_Expert	5	AcademicPublication_Expert	2	2	1	0.015606049448251724
22	7	test	False	False	95	10	5	AcademicPublication_Expert	7	Verification_Expert	5	AcademicPublication_Expert	2	2	1	0.01361270621418953
23	10	test	False	False	95	10	5	AcademicPublication_Expert	7	Verification_Expert	5	AcademicPublication_Expert	2	2	1	0.012210298329591751
24	7	test	False	False	110	9	5	Verification_Expert	6	DataCollection_Expert	5	Verification_Expert	1	3	1	0.0029374994337558746
25	11	test	False	False	110	9	5	Verification_Expert	6	DataCollection_Expert	5	Verification_Expert	1	2	1	0.0039915405213832855
26	16	test	False	False	110	9	5	Verification_Expert	6	DataCollection_Expert	5	Verification_Expert	1	2	1	0.0038939788937568665
27	1	test	False	False	110	9	5	Verification_Expert	6	DataCollection_Expert	5	Verification_Expert	1	2	1	0.00333491712808609
28	11	test	False	False	118	10	1	Statistics_Expert	9	WeatherData_Expert	1	Statistics_Expert	8	2	1	0.004161616787314415
29	15	test	False	False	118	10	1	Statistics_Expert	9	WeatherData_Expert	1	Statistics_Expert	8	2	1	0.0029309801757335663
30	5	test	False	False	118	10	1	Statistics_Expert	9	WeatherData_Expert	1	Statistics_Expert	8	2	1	0.0026082340627908707
31	1	test	False	False	118	10	1	Statistics_Expert	9	WeatherData_Expert	1	Statistics_Expert	8	2	1	0.0022355634719133377
32	7	test	False	False	102	10	1	Filmography_Expert	5	IMDB_Ratings_Expert	1	Filmography_Expert	4	3	1	0.013360431417822838
33	11	test	False	False	102	10	1	Filmography_Expert	5	IMDB_Ratings_Expert	1	Filmography_Expert	4	2	1	0.017392097041010857
34	17	test	False	False	102	10	1	Filmography_Expert	5	IMDB_Ratings_Expert	1	Filmography_Expert	4	2	1	0.015970692038536072
35	6	test	False	False	102	10	1	Filmography_Expert	5	IMDB_Ratings_Expert	1	Filmography_Expert	4	2	1	0.011835912242531776
36	9	test	False	False	102	10	1	Filmography_Expert	5	IMDB_Ratings_Expert	1	Filmography_Expert	4	2	1	0.011067347601056099
37	16	test	False	False	102	10	1	Filmography_Expert	5	IMDB_Ratings_Expert	1	Filmography_Expert	4	2	1	0.010385129600763321
38	17	test	False	False	32	10	1	SpeciesSightingsData_Expert	3	DataVerification_Expert	1	SpeciesSightingsData_Expert	2	3	1	0.00605219230055809
39	6	test	False	False	32	10	1	SpeciesSightingsData_Expert	3	DataVerification_Expert	1	SpeciesSightingsData_Expert	2	3	1	0.002427542582154274
40	8	test	False	False	32	10	1	SpeciesSightingsData_Expert	3	DataVerification_Expert	1	SpeciesSightingsData_Expert	2	2	1	0.007026670500636101
41	5	test	False	False	32	10	1	SpeciesSightingsData_Expert	3	DataVerification_Expert	1	SpeciesSightingsData_Expert	2	2	1	0.0026794541627168655
42	14	test	False	False	32	10	1	SpeciesSightingsData_Expert	3	DataVerification_Expert	1	SpeciesSightingsData_Expert	2	2	1	0.0022217612713575363
43	5	test	False	False	102	10	1	Filmography_Expert	2	StreamingAvailability_Expert	1	Filmography_Expert	1	4	1	0.016586583107709885
44	10	test	False	False	102	10	1	Filmography_Expert	2	StreamingAvailability_Expert	1	Filmography_Expert	1	3	1	0.01393892988562584
45	12	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.008119774982333183
46	5	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.00698595866560936
47	14	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.006272746250033379
48	10	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.004793880507349968
49	20	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.004361186176538467
50	13	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.0042358506470918655
51	15	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.0038973651826381683
52	6	test	False	False	88	10	0	FinancialData_Expert	9	Computer_terminal	0	FinancialData_Expert	9	2	1	0.0029527265578508377
53	8	test	False	False	19	10	0	Debugging_Problem_Solving_Expert	7	Debugging_Problem_Solving_Expert	0	Debugging_Problem_Solving_Expert	7	5	1	0.0009904950857162476
54	5	test	False	False	19	10	0	Debugging_Problem_Solving_Expert	7	Debugging_Problem_Solving_Expert	0	Debugging_Problem_Solving_Expert	7	5	1	0.00022079609334468842
55	15	test	False	False	119	8	0	Geometry_Expert	6	LocalHistorian_Expert	0	Geometry_Expert	6	3	1	0.0011459216475486755
56	16	test	False	False	119	8	0	Geometry_Expert	6	LocalHistorian_Expert	0	Geometry_Expert	6	2	1	0.007096193730831146
57	12	test	False	False	19	10	0	Debugging_Problem_Solving_Expert	3	Debugging_Problem_Solving_Expert	0	Debugging_Problem_Solving_Expert	3	5	1	0.0006750244647264481
58	19	test	False	False	19	10	0	Debugging_Problem_Solving_Expert	3	Debugging_Problem_Solving_Expert	0	Debugging_Problem_Solving_Expert	3	5	1	8.461996912956238e-05
59	17	test	False	False	77	10	0	YouTubeDownload_Expert	3	Computer_terminal	0	YouTubeDownload_Expert	3	3	1	0.006521070376038551
60	14	test	False	False	119	8	0	Geometry_Expert	2	VerificationExpert	0	Geometry_Expert	2	3	1	0.0005638711154460907
61	6	test	False	False	43	9	0	DataAnalysis_Expert	2	Database_Expert	0	DataAnalysis_Expert	2	2	1	0.006081629544496536
62	16	test	False	False	43	9	0	DataAnalysis_Expert	2	Database_Expert	0	DataAnalysis_Expert	2	2	1	0.0027909614145755768
63	19	test	False	False	119	8	0	Geometry_Expert	2	VerificationExpert	0	Geometry_Expert	2	2	1	0.0004576481878757477
64	5	test	False	False	80	8	0	PythonDebugging_Expert	1	Computer_terminal	0	PythonDebugging_Expert	1	2	1	0.0016543194651603699
65	8	test	False	False	80	8	0	PythonDebugging_Expert	1	Computer_terminal	0	PythonDebugging_Expert	1	2	1	0.0013261232525110245
66	19	test	False	False	99	7	2	Verification_Expert	4	Ticket_Pricing_Expert	2	Verification_Expert	2	5	1	0.0006119702011346817
67	7	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	4	1	0.000568801537156105
68	15	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	3	1	0.0039540790021419525
69	19	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	3	1	0.0035014599561691284
70	11	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	3	1	0.0033393986523151398
71	20	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	3	1	0.0028013810515403748
72	16	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	3	1	0.002164456993341446
73	1	test	False	False	114	7	1	Verification_Expert	5	RealEstateMarket_Expert	1	Verification_Expert	4	2	1	0.0045779552310705185
74	17	test	False	False	65	6	1	VideoContentAnalysis_Expert	4	VideoContentAnalysis_Expert	1	VideoContentAnalysis_Expert	3	3	1	0.000800207257270813
75	12	test	False	False	75	7	1	Data_Collection_Expert	4	Verification_Expert	1	Data_Collection_Expert	3	2	1	0.005787290632724762
76	14	test	False	False	75	7	1	Data_Collection_Expert	4	Verification_Expert	1	Data_Collection_Expert	3	2	1	0.005386002361774445
77	16	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.018368709832429886
78	14	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.015220195055007935
79	18	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.012742452323436737
80	11	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.01098303496837616
81	9	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.01068897545337677
82	13	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.009238217025995255
83	1	test	False	False	58	6	1	Verification_Expert	3	Python_ScikitLearn_StatisticalAnalysis_Expert	1	Verification_Expert	2	2	1	0.008764609694480896
84	18	test	False	False	42	6	1	Verification_Expert	3	ProblemSolving_Expert	1	Verification_Expert	2	2	1	0.008480235934257507
85	7	test	False	False	42	6	1	Verification_Expert	3	ProblemSolving_Expert	1	Verification_Expert	2	2	1	0.007948502898216248
86	11	test	False	False	42	6	1	Verification_Expert	3	ProblemSolving_Expert	1	Verification_Expert	2	2	1	0.007177963852882385
87	7	test	False	False	121	7	1	Debugging_Expert	3	Debugging_Expert	1	Debugging_Expert	2	2	1	0.005857154726982117
88	5	test	False	False	121	7	1	Debugging_Expert	3	Debugging_Expert	1	Debugging_Expert	2	2	1	0.005388772115111351
89	18	test	False	False	121	7	1	Debugging_Expert	3	Debugging_Expert	1	Debugging_Expert	2	2	1	0.005358509719371796
90	6	test	False	False	121	7	1	Debugging_Expert	3	Debugging_Expert	1	Debugging_Expert	2	2	1	0.00495518371462822
91	13	test	False	False	121	7	1	Debugging_Expert	3	Debugging_Expert	1	Debugging_Expert	2	2	1	0.00491129606962204
92	8	test	False	False	121	7	1	Debugging_Expert	3	Debugging_Expert	1	Debugging_Expert	2	2	1	0.004436356946825981
93	18	test	False	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.006762763485312462
94	8	test	False	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.005012631416320801
95	15	test	False	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.004522358998656273
96	16	test	False	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.0034577585756778717
97	10	test	False	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.0033266358077526093
98	20	test	False	False	37	6	1	Cubing_Expert	2	Verification_Expert	1	Cubing_Expert	1	4	1	0.0029867254197597504
99	13	test	False	False	46	7	1	Behavioral_Expert	2	Validation_Expert	1	Behavioral_Expert	1	3	1	0.004280267283320427
100	9	test	False	False	65	6	1	VideoContentAnalysis_Expert	2	Computer_terminal	1	VideoContentAnalysis_Expert	1	3	1	0.0037945695221424103
101	8	test	False	False	46	7	1	Behavioral_Expert	2	Validation_Expert	1	Behavioral_Expert	1	3	1	0.0032434873282909393
102	6	test	False	False	46	7	1	Behavioral_Expert	2	Validation_Expert	1	Behavioral_Expert	1	3	1	0.002358831465244293
103	10	test	False	False	46	7	1	Behavioral_Expert	2	Validation_Expert	1	Behavioral_Expert	1	3	1	0.002226904034614563
104	10	test	False	False	9	5	1	GameTheory_Expert	2	VerificationExpert	1	GameTheory_Expert	1	3	1	0.0007157251238822937
105	15	test	False	False	9	5	1	GameTheory_Expert	2	VerificationExpert	1	GameTheory_Expert	1	3	1	0.0006140284240245819
106	17	test	False	False	46	7	1	Behavioral_Expert	2	Validation_Expert	1	Behavioral_Expert	1	2	1	0.005315741524100304
107	6	test	False	False	98	7	1	Probability_Expert	2	Computer_terminal	1	Probability_Expert	1	2	1	0.001854635775089264
108	1	test	False	False	1	6	0	Excel_Expert	2	BusinessLogic_Expert	0	Excel_Expert	2	2	1	0.009115241467952728
109	19	test	False	False	1	6	0	Excel_Expert	2	BusinessLogic_Expert	0	Excel_Expert	2	2	1	0.0073543936014175415
