model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	math500	svd	17,18,19	act/7	0	20			0.0		0.6244725738396625	0.6118143459915611	0.5625	0.5520833333333334
qwen3.5-9b	math500	backprop	17,18,19	act/7	0	20	backprop	6-8	0.0	all	0.6244725738396625	0.6118143459915611	0.5625	0.5520833333333334
qwen3.5-9b	math500	succ-strong	17,18,19	act/7	0	20	succ-strong	6-8	0.0	all	0.6244725738396625	0.6118143459915611	0.5625	0.5520833333333334
qwen3.5-9b	math500	succ-near	17,18,19	act/7	0	20	succ-near	6-8	0.0	all	0.6244725738396625	0.6118143459915611	0.5625	0.5520833333333334
qwen3.5-9b	mmlu_pro	svd	17,18,19	act/3	0	20			0.0		0.7101449275362319	0.8043478260869565	0.543859649122807	0.6491228070175438
qwen3.5-9b	mmlu_pro	backprop	17,18,19	act/3	0	20	backprop	6-8	0.0	all	0.7101449275362319	0.8043478260869565	0.543859649122807	0.6491228070175438
qwen3.5-9b	mmlu_pro	succ-strong	17,18,19	act/3	0	20	succ-strong	6-8	0.0	all	0.7101449275362319	0.8043478260869565	0.543859649122807	0.6491228070175438
qwen3.5-9b	mmlu_pro	succ-near	17,18,19	act/3	0	20	succ-near	6-8	0.0	all	0.7101449275362319	0.8043478260869565	0.543859649122807	0.6491228070175438
qwen3.5-9b	musique	svd	17,18,19	act/3	1	3			0.0		0.4487179487179487	0.7478632478632479	0.41798941798941797	0.6984126984126983
qwen3.5-9b	musique	backprop	17,18,19	act/3	1	3	backprop	6-8	0.0	all	0.4487179487179487	0.7478632478632479	0.41798941798941797	0.6984126984126983
qwen3.5-9b	musique	succ-strong	17,18,19	act/3	1	3	succ-strong	6-8	0.0	all	0.4487179487179487	0.7478632478632479	0.41798941798941797	0.6984126984126983
qwen3.5-9b	musique	succ-near	17,18,19	act/3	1	3	succ-near	6-8	0.0	all	0.4487179487179487	0.7478632478632479	0.41798941798941797	0.6984126984126983
qwen3.5-9b	wikimqa	svd	17,18,19	act/15	1	3			0.0		0.4922797456857402	0.701180744777475	0.4716553287981859	0.7142857142857143
qwen3.5-9b	wikimqa	backprop	17,18,19	act/15	1	3	backprop	6-8	0.1	1	0.5077202543142597	0.703905540417802	0.4875283446712018	0.7210884353741497
qwen3.5-9b	wikimqa	succ-strong	17,18,19	act/15	1	3	succ-strong	6-8	0.0	all	0.4922797456857402	0.701180744777475	0.4716553287981859	0.7142857142857143
qwen3.5-9b	wikimqa	succ-near	17,18,19	act/15	1	3	succ-near	6-8	0.2	1	0.5022706630336059	0.6930063578564941	0.4829931972789116	0.7188208616780045
deepseek-8b	arc	svd	17,18,19	act/13	0	2			0.0		0.875	0.8815789473684211	0.8306010928961749	0.8415300546448087
deepseek-8b	arc	backprop	17,18,19	act/13	0	2	backprop	8-16	0.0	all	0.875	0.8815789473684211	0.8306010928961749	0.8415300546448087
deepseek-8b	arc	succ-strong	17,18,19	act/13	0	2	succ-strong	8-16	0.0	all	0.875	0.8815789473684211	0.8306010928961749	0.8415300546448087
deepseek-8b	arc	succ-near	17,18,19	act/13	0	2	succ-near	8-16	0.0	all	0.875	0.8815789473684211	0.8306010928961749	0.8415300546448087
deepseek-8b	gaia	svd	17,18,19	act/13	0	4			0.0		0.7200000000000001	0.8666666666666667	0.6333333333333333	0.8333333333333334
deepseek-8b	gaia	backprop	17,18,19	act/13	0	4	backprop	8-16	0.0	all	0.7200000000000001	0.8666666666666667	0.6333333333333333	0.8333333333333334
deepseek-8b	gaia	succ-strong	17,18,19	act/13	0	4	succ-strong	8-16	0.0	all	0.7200000000000001	0.8666666666666667	0.6333333333333333	0.8333333333333334
deepseek-8b	gaia	succ-near	17,18,19	act/13	0	4	succ-near	8-16	0.0	all	0.7200000000000001	0.8666666666666667	0.6333333333333333	0.8333333333333334
deepseek-8b	hotpot	svd	17,18,19	act/16	0	4			0.0		0.5317185697808536	0.7081891580161477	0.4770114942528736	0.6839080459770114
deepseek-8b	hotpot	backprop	17,18,19	act/16	0	4	backprop	8-16	0.0	all	0.5317185697808536	0.7081891580161477	0.4770114942528736	0.6839080459770114
deepseek-8b	hotpot	succ-strong	17,18,19	act/16	0	4	succ-strong	8-16	0.0	all	0.5317185697808536	0.7081891580161477	0.4770114942528736	0.6839080459770114
deepseek-8b	hotpot	succ-near	17,18,19	act/16	0	4	succ-near	8-16	0.0	all	0.5317185697808536	0.7081891580161477	0.4770114942528736	0.6839080459770114
deepseek-8b	math500	svd	17,18,19	act/15	1	3			0.0		0.6244725738396625	0.6160337552742615	0.59375	0.65625
deepseek-8b	math500	backprop	17,18,19	act/15	1	3	backprop	8-16	0.0	all	0.6244725738396625	0.6160337552742615	0.59375	0.65625
deepseek-8b	math500	succ-strong	17,18,19	act/15	1	3	succ-strong	8-16	0.0	all	0.6244725738396625	0.6160337552742615	0.59375	0.65625
deepseek-8b	math500	succ-near	17,18,19	act/15	1	3	succ-near	8-16	0.0	all	0.6244725738396625	0.6160337552742615	0.59375	0.65625
deepseek-8b	mmlu_pro	svd	17,18,19	act/7	0	2			0.0		0.7971014492753623	0.8405797101449274	0.6140350877192983	0.7192982456140351
deepseek-8b	mmlu_pro	backprop	17,18,19	act/7	0	2	backprop	8-16	0.0	all	0.7971014492753623	0.8405797101449274	0.6140350877192983	0.7192982456140351
deepseek-8b	mmlu_pro	succ-strong	17,18,19	act/7	0	2	succ-strong	8-16	0.0	all	0.7971014492753623	0.8405797101449274	0.6140350877192983	0.7192982456140351
deepseek-8b	mmlu_pro	succ-near	17,18,19	act/7	0	2	succ-near	8-16	0.0	all	0.7971014492753623	0.8405797101449274	0.6140350877192983	0.7192982456140351
deepseek-8b	musique	svd	17,18,19	act/12	0	3			0.0		0.46367521367521364	0.7585470085470085	0.45502645502645495	0.7619047619047619
deepseek-8b	musique	backprop	17,18,19	act/12	0	3	backprop	8-16	0.0	all	0.46367521367521364	0.7585470085470085	0.45502645502645495	0.7619047619047619
deepseek-8b	musique	succ-strong	17,18,19	act/12	0	3	succ-strong	8-16	0.0	all	0.46367521367521364	0.7585470085470085	0.45502645502645495	0.7619047619047619
deepseek-8b	musique	succ-near	17,18,19	act/12	0	3	succ-near	8-16	0.0	all	0.46367521367521364	0.7585470085470085	0.45502645502645495	0.7619047619047619
deepseek-8b	wikimqa	svd	17,18,19	act/12	0	3			0.0		0.5249772933696639	0.6884650317892825	0.5170068027210885	0.7369614512471655
deepseek-8b	wikimqa	backprop	17,18,19	act/12	0	3	backprop	0-8	0.1	1	0.5513169845594913	0.698455949137148	0.5873015873015873	0.7301587301587302
deepseek-8b	wikimqa	succ-strong	17,18,19	act/12	0	3	succ-strong	8-16	0.0	all	0.5249772933696639	0.6884650317892825	0.5170068027210885	0.7369614512471655
deepseek-8b	wikimqa	succ-near	17,18,19	act/12	0	3	succ-near	8-16	0.0	all	0.5249772933696639	0.6884650317892825	0.5170068027210885	0.7369614512471655
