model	subset	row	seeds	position	c_begin	c_end	strategy	layer_range	gamma	w	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
deepseek-8b	math500	succ-strong	17,18,19	act/15	1	3	succ-strong	8-16	0.0	all	0.5991561181434598	0.5864978902953587	0.5625	0.65625
deepseek-8b	math500	succ-near	17,18,19	act/15	1	3	succ-near	8-16	0.0	all	0.5991561181434598	0.5864978902953587	0.5625	0.65625
deepseek-8b	mmlu_pro	svd	17,18,19	act/8	0	3			0.0		0.8043478260869565	0.8260869565217392	0.5789473684210525	0.6842105263157894
deepseek-8b	mmlu_pro	backprop	17,18,19	act/8	0	3	backprop	8-16	0.0	all	0.8043478260869565	0.8260869565217392	0.5789473684210525	0.6842105263157894
deepseek-8b	mmlu_pro	succ-strong	17,18,19	act/8	0	3	succ-strong	8-16	0.0	all	0.8043478260869565	0.8260869565217392	0.5789473684210525	0.6842105263157894
deepseek-8b	mmlu_pro	succ-near	17,18,19	act/8	0	3	succ-near	8-16	0.0	all	0.8043478260869565	0.8260869565217392	0.5789473684210525	0.6842105263157894
deepseek-8b	musique	svd	17,18,19	act/13	0	6			0.0		0.44658119658119655	0.7564102564102564	0.45502645502645495	0.7671957671957671
deepseek-8b	musique	backprop	17,18,19	act/13	0	6	backprop	8-16	0.0	all	0.44658119658119655	0.7564102564102564	0.45502645502645495	0.7671957671957671
deepseek-8b	musique	succ-strong	17,18,19	act/13	0	6	succ-strong	8-16	0.0	all	0.44658119658119655	0.7564102564102564	0.45502645502645495	0.7671957671957671
deepseek-8b	musique	succ-near	17,18,19	act/13	0	6	succ-near	8-16	0.0	all	0.44658119658119655	0.7564102564102564	0.45502645502645495	0.7671957671957671
deepseek-8b	wikimqa	svd	17,18,19	act/12	0	3			0.0		0.5186194368755676	0.6866485013623977	0.5056689342403629	0.7301587301587301
deepseek-8b	wikimqa	backprop	17,18,19	act/12	0	3	backprop	0-8	0.1	1	0.553133514986376	0.6948228882833788	0.582766439909297	0.7369614512471655
deepseek-8b	wikimqa	succ-strong	17,18,19	act/12	0	3	succ-strong	8-16	0.0	all	0.5186194368755676	0.6866485013623977	0.5056689342403629	0.7301587301587301
deepseek-8b	wikimqa	succ-near	17,18,19	act/12	0	3	succ-near	8-16	0.0	all	0.5186194368755676	0.6866485013623977	0.5056689342403629	0.7301587301587301
