new_index,orig_subset,orig_index,trajectory_id
55,arc,55,gpt-4o-mini_arc_task186_1
56,arc,56,gpt-4o-mini_arc_task192_1
57,arc,57,gpt-4o-mini_arc_task193_1
58,arc,58,gpt-4o-mini_arc_task194_1
59,arc,59,gpt-4o-mini_arc_task196_1
60,arc,60,gpt-4o-mini_arc_task199_1
61,arc,61,gpt-4o-mini_arc_task19_1
62,arc,62,gpt-4o-mini_arc_task20_1
63,arc,63,gpt-4o-mini_arc_task21_1
64,arc,64,gpt-4o-mini_arc_task22_1
65,arc,65,gpt-4o-mini_arc_task24_1
66,arc,66,gpt-4o-mini_arc_task25_1
67,arc,67,gpt-4o-mini_arc_task27_1
68,arc,68,gpt-4o-mini_arc_task29_1
69,arc,69,gpt-4o-mini_arc_task2_1
70,arc,70,gpt-4o-mini_arc_task31_1
71,arc,71,gpt-4o-mini_arc_task33_1
72,arc,72,gpt-4o-mini_arc_task34_1
73,arc,73,gpt-4o-mini_arc_task35_1
74,arc,74,gpt-4o-mini_arc_task36_1
75,arc,75,gpt-4o-mini_arc_task39_1
76,arc,76,gpt-4o-mini_arc_task42_1
77,arc,77,gpt-4o-mini_arc_task44_1
78,arc,78,gpt-4o-mini_arc_task47_1
79,arc,79,gpt-4o-mini_arc_task50_1
80,arc,80,gpt-4o-mini_arc_task53_1
81,arc,81,gpt-4o-mini_arc_task58_1
82,arc,82,gpt-4o-mini_arc_task59_1
83,arc,83,gpt-4o-mini_arc_task60_1
84,arc,84,gpt-4o-mini_arc_task65_1
85,arc,85,gpt-4o-mini_arc_task6_1
86,arc,86,gpt-4o-mini_arc_task71_1
87,arc,87,gpt-4o-mini_arc_task74_1
88,arc,88,gpt-4o-mini_arc_task77_1
89,arc,89,gpt-4o-mini_arc_task78_1
90,arc,90,gpt-4o-mini_arc_task7_1
91,arc,91,gpt-4o-mini_arc_task80_1
92,arc,92,gpt-4o-mini_arc_task83_1
93,arc,93,gpt-4o-mini_arc_task84_1
94,arc,94,gpt-4o-mini_arc_task86_1
95,arc,95,gpt-4o-mini_arc_task88_1
96,arc,96,gpt-4o-mini_arc_task89_1
97,arc,97,gpt-4o-mini_arc_task8_1
98,arc,98,gpt-4o-mini_arc_task90_1
99,arc,99,gpt-4o-mini_arc_task91_1
100,arc,100,gpt-4o-mini_arc_task93_1
101,arc,101,gpt-5-nano_arc_task100_1
102,arc,102,gpt-5-nano_arc_task101_1
103,arc,103,gpt-5-nano_arc_task103_1
104,arc,104,gpt-5-nano_arc_task105_1
105,arc,105,gpt-5-nano_arc_task10_1
106,arc,106,gpt-5-nano_arc_task110_1
107,arc,107,gpt-5-nano_arc_task111_1
108,arc,108,gpt-5-nano_arc_task113_1
109,arc,109,gpt-5-nano_arc_task115_1
110,arc,110,gpt-5-nano_arc_task116_1
111,arc,111,gpt-5-nano_arc_task117_1
112,arc,112,gpt-5-nano_arc_task119_1
113,arc,113,gpt-5-nano_arc_task11_1
114,arc,114,gpt-5-nano_arc_task120_1
115,arc,115,gpt-5-nano_arc_task121_1
116,arc,116,gpt-5-nano_arc_task123_1
117,arc,117,gpt-5-nano_arc_task126_1
118,arc,118,gpt-5-nano_arc_task127_1
119,arc,119,gpt-5-nano_arc_task128_1
120,arc,120,gpt-5-nano_arc_task12_1
121,arc,121,gpt-5-nano_arc_task130_1
122,arc,122,gpt-5-nano_arc_task131_1
123,arc,123,gpt-5-nano_arc_task132_1
124,arc,124,gpt-5-nano_arc_task133_1
125,arc,125,gpt-5-nano_arc_task134_1
126,arc,126,gpt-5-nano_arc_task135_1
127,arc,127,gpt-5-nano_arc_task136_1
128,arc,128,gpt-5-nano_arc_task137_1
129,arc,129,gpt-5-nano_arc_task139_1
130,arc,130,gpt-5-nano_arc_task13_1
131,arc,131,gpt-5-nano_arc_task140_1
132,arc,132,gpt-5-nano_arc_task141_1
133,arc,133,gpt-5-nano_arc_task142_1
134,arc,134,gpt-5-nano_arc_task143_1
135,arc,135,gpt-5-nano_arc_task145_1
136,arc,136,gpt-5-nano_arc_task146_1
137,arc,137,gpt-5-nano_arc_task147_1
138,arc,138,gpt-5-nano_arc_task148_1
139,arc,139,gpt-5-nano_arc_task149_1
140,arc,140,gpt-5-nano_arc_task14_1
141,arc,141,gpt-5-nano_arc_task151_1
142,arc,142,gpt-5-nano_arc_task152_1
143,arc,143,gpt-5-nano_arc_task155_1
144,arc,144,gpt-5-nano_arc_task156_1
145,arc,145,gpt-5-nano_arc_task157_1
146,arc,146,gpt-5-nano_arc_task158_1
147,arc,147,gpt-5-nano_arc_task159_1
148,arc,148,gpt-5-nano_arc_task15_1
149,arc,149,gpt-5-nano_arc_task160_1
150,arc,150,gpt-5-nano_arc_task162_1
151,arc,151,gpt-5-nano_arc_task164_1
152,arc,152,gpt-5-nano_arc_task165_1
153,arc,153,gpt-5-nano_arc_task166_1
154,arc,154,gpt-5-nano_arc_task169_1
155,arc,155,gpt-5-nano_arc_task170_1
156,arc,156,gpt-5-nano_arc_task171_1
157,arc,157,gpt-5-nano_arc_task172_1
158,arc,158,gpt-5-nano_arc_task173_1
159,arc,159,gpt-5-nano_arc_task174_1
160,arc,160,gpt-5-nano_arc_task175_1
161,arc,161,gpt-5-nano_arc_task176_1
162,arc,162,gpt-5-nano_arc_task17_1
163,arc,163,gpt-5-nano_arc_task180_1
164,arc,164,gpt-5-nano_arc_task181_1
165,arc,165,gpt-5-nano_arc_task184_1
166,arc,166,gpt-5-nano_arc_task185_1
167,arc,167,gpt-5-nano_arc_task186_1
168,arc,168,gpt-5-nano_arc_task187_1
169,arc,169,gpt-5-nano_arc_task191_1
170,arc,170,gpt-5-nano_arc_task192_1
171,arc,171,gpt-5-nano_arc_task193_1
172,arc,172,gpt-5-nano_arc_task194_1
173,arc,173,gpt-5-nano_arc_task195_1
174,arc,174,gpt-5-nano_arc_task196_1
175,arc,175,gpt-5-nano_arc_task198_1
176,arc,176,gpt-5-nano_arc_task199_1
177,arc,177,gpt-5-nano_arc_task19_1
178,arc,178,gpt-5-nano_arc_task1_1
179,arc,179,gpt-5-nano_arc_task201_1
180,arc,180,gpt-5-nano_arc_task202_1
181,arc,181,gpt-5-nano_arc_task203_1
182,arc,182,gpt-5-nano_arc_task204_1
183,arc,183,gpt-5-nano_arc_task205_1
184,arc,184,gpt-5-nano_arc_task20_1
185,arc,185,gpt-5-nano_arc_task210_1
186,arc,186,gpt-5-nano_arc_task213_1
187,arc,187,gpt-5-nano_arc_task216_1
188,arc,188,gpt-5-nano_arc_task218_1
189,arc,189,gpt-5-nano_arc_task219_1
190,arc,190,gpt-5-nano_arc_task21_1
191,arc,191,gpt-5-nano_arc_task221_1
192,arc,192,gpt-5-nano_arc_task223_1
193,arc,193,gpt-5-nano_arc_task224_1
194,arc,194,gpt-5-nano_arc_task227_1
195,arc,195,gpt-5-nano_arc_task228_1
196,arc,196,gpt-5-nano_arc_task229_1
197,arc,197,gpt-5-nano_arc_task22_1
198,arc,198,gpt-5-nano_arc_task230_1
199,arc,199,gpt-5-nano_arc_task232_1
200,arc,200,gpt-5-nano_arc_task233_1
201,arc,201,gpt-5-nano_arc_task234_1
202,arc,202,gpt-5-nano_arc_task235_1
203,arc,203,gpt-5-nano_arc_task237_1
204,arc,204,gpt-5-nano_arc_task238_1
205,arc,205,gpt-5-nano_arc_task241_1
206,arc,206,gpt-5-nano_arc_task242_1
207,arc,207,gpt-5-nano_arc_task244_1
208,arc,208,gpt-5-nano_arc_task246_1
209,arc,209,gpt-5-nano_arc_task247_1
210,arc,210,gpt-5-nano_arc_task248_1
211,arc,211,gpt-5-nano_arc_task249_1
212,arc,212,gpt-5-nano_arc_task24_1
213,arc,213,gpt-5-nano_arc_task251_1
214,arc,214,gpt-5-nano_arc_task252_1
215,arc,215,gpt-5-nano_arc_task254_1
216,arc,216,gpt-5-nano_arc_task255_1
217,arc,217,gpt-5-nano_arc_task256_1
218,arc,218,gpt-5-nano_arc_task258_1
219,arc,219,gpt-5-nano_arc_task259_1
220,arc,220,gpt-5-nano_arc_task25_1
221,arc,221,gpt-5-nano_arc_task260_1
222,arc,222,gpt-5-nano_arc_task261_1
223,arc,223,gpt-5-nano_arc_task262_1
224,arc,224,gpt-5-nano_arc_task263_1
225,arc,225,gpt-5-nano_arc_task264_1
226,arc,226,gpt-5-nano_arc_task266_1
227,arc,227,gpt-5-nano_arc_task267_1
228,arc,228,gpt-5-nano_arc_task26_1
229,arc,229,gpt-5-nano_arc_task271_1
230,arc,230,gpt-5-nano_arc_task272_1
231,arc,231,gpt-5-nano_arc_task273_1
232,arc,232,gpt-5-nano_arc_task274_1
233,arc,233,gpt-5-nano_arc_task278_1
234,arc,234,gpt-5-nano_arc_task279_1
235,arc,235,gpt-5-nano_arc_task27_1
236,arc,236,gpt-5-nano_arc_task281_1
237,arc,237,gpt-5-nano_arc_task282_1
238,arc,238,gpt-5-nano_arc_task284_1
239,arc,239,gpt-5-nano_arc_task285_1
240,arc,240,gpt-5-nano_arc_task286_1
241,arc,241,gpt-5-nano_arc_task287_1
242,arc,242,gpt-5-nano_arc_task289_1
243,arc,243,gpt-5-nano_arc_task290_1
244,arc,244,gpt-5-nano_arc_task291_1
245,arc,245,gpt-5-nano_arc_task292_1
246,arc,246,gpt-5-nano_arc_task293_1
247,arc,247,gpt-5-nano_arc_task294_1
248,arc,248,gpt-5-nano_arc_task296_1
249,arc,249,gpt-5-nano_arc_task297_1
250,arc,250,gpt-5-nano_arc_task29_1
251,arc,251,gpt-5-nano_arc_task31_1
252,arc,252,gpt-5-nano_arc_task32_1
253,arc,253,gpt-5-nano_arc_task34_1
254,arc,254,gpt-5-nano_arc_task36_1
255,arc,255,gpt-5-nano_arc_task37_1
256,arc,256,gpt-5-nano_arc_task38_1
257,arc,257,gpt-5-nano_arc_task39_1
258,arc,258,gpt-5-nano_arc_task3_1
259,arc,259,gpt-5-nano_arc_task40_1
260,arc,260,gpt-5-nano_arc_task41_1
261,arc,261,gpt-5-nano_arc_task42_1
262,arc,262,gpt-5-nano_arc_task43_1
263,arc,263,gpt-5-nano_arc_task44_1
264,arc,264,gpt-5-nano_arc_task47_1
265,arc,265,gpt-5-nano_arc_task52_1
266,arc,266,gpt-5-nano_arc_task53_1
267,arc,267,gpt-5-nano_arc_task55_1
268,arc,268,gpt-5-nano_arc_task56_1
269,arc,269,gpt-5-nano_arc_task57_1
270,arc,270,gpt-5-nano_arc_task58_1
271,arc,271,gpt-5-nano_arc_task5_1
272,arc,272,gpt-5-nano_arc_task60_1
273,arc,273,gpt-5-nano_arc_task61_1
274,arc,274,gpt-5-nano_arc_task62_1
275,arc,275,gpt-5-nano_arc_task63_1
276,arc,276,gpt-5-nano_arc_task64_1
277,arc,277,gpt-5-nano_arc_task65_1
278,arc,278,gpt-5-nano_arc_task68_1
279,arc,279,gpt-5-nano_arc_task6_1
280,arc,280,gpt-5-nano_arc_task71_1
281,arc,281,gpt-5-nano_arc_task73_1
282,arc,282,gpt-5-nano_arc_task74_1
283,arc,283,gpt-5-nano_arc_task75_1
284,arc,284,gpt-5-nano_arc_task76_1
285,arc,285,gpt-5-nano_arc_task77_1
286,arc,286,gpt-5-nano_arc_task78_1
287,arc,287,gpt-5-nano_arc_task7_1
288,arc,288,gpt-5-nano_arc_task81_1
289,arc,289,gpt-5-nano_arc_task82_1
290,arc,290,gpt-5-nano_arc_task83_1
291,arc,291,gpt-5-nano_arc_task84_1
292,arc,292,gpt-5-nano_arc_task85_1
293,arc,293,gpt-5-nano_arc_task87_1
294,arc,294,gpt-5-nano_arc_task88_1
295,arc,295,gpt-5-nano_arc_task89_1
296,arc,296,gpt-5-nano_arc_task8_1
297,arc,297,gpt-5-nano_arc_task91_1
298,arc,298,gpt-5-nano_arc_task93_1
299,arc,299,gpt-5-nano_arc_task94_1
300,arc,300,gpt-5-nano_arc_task95_1
301,arc,301,gpt-5-nano_arc_task96_1
302,arc,302,gpt-5-nano_arc_task97_1
303,arc,303,gpt-5-nano_arc_task98_1
304,arc,304,gpt-5-nano_arc_task9_1
305,gaia,1,gpt-4o-mini_gaia_task110_3
306,gaia,2,gpt-4o-mini_gaia_task122_1
307,gaia,3,gpt-4o-mini_gaia_task138_1
308,gaia,4,gpt-4o-mini_gaia_task138_2
309,gaia,5,gpt-4o-mini_gaia_task146_3
310,gaia,6,gpt-4o-mini_gaia_task153_3
311,gaia,7,gpt-4o-mini_gaia_task154_2
312,gaia,8,gpt-4o-mini_gaia_task34_2
313,gaia,9,gpt-4o-mini_gaia_task40_1
314,gaia,10,gpt-4o-mini_gaia_task58_1
315,gaia,11,gpt-4o-mini_gaia_task61_2
316,gaia,12,gpt-4o-mini_gaia_task6_2
317,gaia,13,gpt-4o-mini_gaia_task6_3
318,gaia,14,gpt-4o-mini_gaia_task9_2
319,gaia,15,gpt-5-nano_gaia_level1_task116_3
320,gaia,16,gpt-5-nano_gaia_level1_task122_1
321,gaia,17,gpt-5-nano_gaia_level1_task122_2
322,gaia,18,gpt-5-nano_gaia_level1_task122_4
323,gaia,19,gpt-5-nano_gaia_level1_task124_2
324,gaia,20,gpt-5-nano_gaia_level1_task124_3
325,gaia,21,gpt-5-nano_gaia_level1_task124_4
326,gaia,22,gpt-5-nano_gaia_level1_task124_5
327,gaia,23,gpt-5-nano_gaia_level1_task130_4
328,gaia,24,gpt-5-nano_gaia_level1_task136_1
329,gaia,25,gpt-5-nano_gaia_level1_task136_2
330,gaia,26,gpt-5-nano_gaia_level1_task136_3
331,gaia,27,gpt-5-nano_gaia_level1_task136_5
332,gaia,28,gpt-5-nano_gaia_level1_task18_1
333,gaia,29,gpt-5-nano_gaia_level1_task22_1
334,gaia,30,gpt-5-nano_gaia_level1_task22_2
335,gaia,31,gpt-5-nano_gaia_level1_task34_1
336,gaia,32,gpt-5-nano_gaia_level1_task34_2
337,gaia,33,gpt-5-nano_gaia_level1_task34_3
338,gaia,34,gpt-5-nano_gaia_level1_task34_4
339,gaia,35,gpt-5-nano_gaia_level1_task34_5
340,gaia,36,gpt-5-nano_gaia_level1_task39_3
341,gaia,37,gpt-5-nano_gaia_level1_task39_4
342,gaia,38,gpt-5-nano_gaia_level1_task40_2
343,gaia,39,gpt-5-nano_gaia_level1_task41_1
344,gaia,40,gpt-5-nano_gaia_level1_task41_4
345,gaia,41,gpt-5-nano_gaia_level1_task52_2
346,gaia,42,gpt-5-nano_gaia_level1_task57_1
347,gaia,43,gpt-5-nano_gaia_level1_task57_4
348,gaia,44,gpt-5-nano_gaia_level1_task58_3
349,gaia,45,gpt-5-nano_gaia_level1_task58_5
350,gaia,46,gpt-5-nano_gaia_level1_task59_1
351,gaia,47,gpt-5-nano_gaia_level1_task59_4
352,gaia,48,gpt-5-nano_gaia_level1_task6_4
353,gaia,49,gpt-5-nano_gaia_level1_task6_5
354,gaia,50,gpt-5-nano_gaia_level1_task96_4
355,hotpot,1,gpt-4o-mini_hotpot_task12_2
356,hotpot,2,gpt-4o-mini_hotpot_task14_1
357,hotpot,3,gpt-4o-mini_hotpot_task16_1
358,hotpot,4,gpt-4o-mini_hotpot_task17_1
359,hotpot,5,gpt-4o-mini_hotpot_task19_1
360,hotpot,6,gpt-4o-mini_hotpot_task19_2
361,hotpot,7,gpt-4o-mini_hotpot_task19_3
362,hotpot,8,gpt-4o-mini_hotpot_task20_2
363,hotpot,9,gpt-4o-mini_hotpot_task24_3
364,hotpot,10,gpt-4o-mini_hotpot_task26_1
365,hotpot,11,gpt-4o-mini_hotpot_task26_2
366,hotpot,12,gpt-4o-mini_hotpot_task28_2
367,hotpot,13,gpt-4o-mini_hotpot_task31_1
368,hotpot,14,gpt-4o-mini_hotpot_task33_1
369,hotpot,15,gpt-4o-mini_hotpot_task33_2
370,hotpot,16,gpt-4o-mini_hotpot_task35_3
371,hotpot,17,gpt-4o-mini_hotpot_task36_3
372,hotpot,18,gpt-4o-mini_hotpot_task37_1
373,hotpot,19,gpt-4o-mini_hotpot_task39_2
374,hotpot,20,gpt-4o-mini_hotpot_task39_3
375,hotpot,21,gpt-4o-mini_hotpot_task3_3
376,hotpot,22,gpt-4o-mini_hotpot_task41_2
377,hotpot,23,gpt-4o-mini_hotpot_task43_1
378,hotpot,24,gpt-4o-mini_hotpot_task43_3
379,hotpot,25,gpt-4o-mini_hotpot_task47_1
380,hotpot,26,gpt-4o-mini_hotpot_task48_2
381,hotpot,27,gpt-4o-mini_hotpot_task49_1
382,hotpot,28,gpt-4o-mini_hotpot_task49_2
383,hotpot,29,gpt-4o-mini_hotpot_task52_1
384,hotpot,30,gpt-4o-mini_hotpot_task57_1
385,hotpot,31,gpt-4o-mini_hotpot_task62_1
386,hotpot,32,gpt-4o-mini_hotpot_task62_2
387,hotpot,33,gpt-4o-mini_hotpot_task62_3
388,hotpot,34,gpt-4o-mini_hotpot_task63_2
389,hotpot,35,gpt-4o-mini_hotpot_task63_3
390,hotpot,36,gpt-4o-mini_hotpot_task65_2
391,hotpot,37,gpt-4o-mini_hotpot_task65_3
392,hotpot,38,gpt-4o-mini_hotpot_task66_1
393,hotpot,39,gpt-4o-mini_hotpot_task67_1
394,hotpot,40,gpt-4o-mini_hotpot_task68_2
395,hotpot,41,gpt-4o-mini_hotpot_task68_3
396,hotpot,42,gpt-4o-mini_hotpot_task6_2
397,hotpot,43,gpt-4o-mini_hotpot_task6_3
398,hotpot,44,gpt-4o-mini_hotpot_task72_1
399,hotpot,45,gpt-4o-mini_hotpot_task74_2
400,hotpot,46,gpt-4o-mini_hotpot_task76_1
401,hotpot,47,gpt-4o-mini_hotpot_task76_2
402,hotpot,48,gpt-4o-mini_hotpot_task76_3
403,hotpot,49,gpt-4o-mini_hotpot_task78_1
404,hotpot,50,gpt-4o-mini_hotpot_task78_2
405,hotpot,51,gpt-4o-mini_hotpot_task79_2
406,hotpot,52,gpt-4o-mini_hotpot_task7_1
407,hotpot,53,gpt-4o-mini_hotpot_task80_1
408,hotpot,54,gpt-4o-mini_hotpot_task80_3
409,hotpot,55,gpt-4o-mini_hotpot_task81_1
410,hotpot,56,gpt-4o-mini_hotpot_task86_3
411,hotpot,57,gpt-4o-mini_hotpot_task89_2
412,hotpot,58,gpt-4o-mini_hotpot_task8_1
413,hotpot,59,gpt-4o-mini_hotpot_task90_1
414,hotpot,60,gpt-4o-mini_hotpot_task90_2
415,hotpot,61,gpt-4o-mini_hotpot_task90_3
416,hotpot,62,gpt-4o-mini_hotpot_task91_1
417,hotpot,63,gpt-4o-mini_hotpot_task91_3
418,hotpot,64,gpt-4o-mini_hotpot_task93_1
419,hotpot,65,gpt-4o-mini_hotpot_task93_3
420,hotpot,66,gpt-4o-mini_hotpot_task95_2
421,hotpot,67,gpt-4o-mini_hotpot_task96_3
422,hotpot,68,gpt-4o-mini_hotpot_task97_1
423,hotpot,69,gpt-4o-mini_hotpot_task99_1
424,hotpot,70,gpt-5-nano_hotpot_task103_2
425,hotpot,71,gpt-5-nano_hotpot_task105_1
426,hotpot,72,gpt-5-nano_hotpot_task105_2
427,hotpot,73,gpt-5-nano_hotpot_task105_3
428,hotpot,74,gpt-5-nano_hotpot_task106_1
429,hotpot,75,gpt-5-nano_hotpot_task107_3
430,hotpot,76,gpt-5-nano_hotpot_task109_1
431,hotpot,77,gpt-5-nano_hotpot_task110_1
432,hotpot,78,gpt-5-nano_hotpot_task110_2
433,hotpot,79,gpt-5-nano_hotpot_task110_3
434,hotpot,80,gpt-5-nano_hotpot_task113_2
435,hotpot,81,gpt-5-nano_hotpot_task116_2
436,hotpot,82,gpt-5-nano_hotpot_task116_3
437,hotpot,83,gpt-5-nano_hotpot_task119_1
438,hotpot,84,gpt-5-nano_hotpot_task119_3
439,hotpot,85,gpt-5-nano_hotpot_task11_1
440,hotpot,86,gpt-5-nano_hotpot_task11_3
441,hotpot,87,gpt-5-nano_hotpot_task120_1
442,hotpot,88,gpt-5-nano_hotpot_task121_1
443,hotpot,89,gpt-5-nano_hotpot_task121_3
444,hotpot,90,gpt-5-nano_hotpot_task122_1
445,hotpot,91,gpt-5-nano_hotpot_task122_3
446,hotpot,92,gpt-5-nano_hotpot_task123_1
447,hotpot,93,gpt-5-nano_hotpot_task123_2
448,hotpot,94,gpt-5-nano_hotpot_task123_3
449,hotpot,95,gpt-5-nano_hotpot_task124_2
450,hotpot,96,gpt-5-nano_hotpot_task125_1
451,hotpot,97,gpt-5-nano_hotpot_task125_2
452,hotpot,98,gpt-5-nano_hotpot_task125_3
453,hotpot,99,gpt-5-nano_hotpot_task127_2
454,hotpot,100,gpt-5-nano_hotpot_task128_1
455,hotpot,101,gpt-5-nano_hotpot_task128_2
456,hotpot,102,gpt-5-nano_hotpot_task128_3
457,hotpot,103,gpt-5-nano_hotpot_task12_1
458,hotpot,104,gpt-5-nano_hotpot_task130_1
459,hotpot,105,gpt-5-nano_hotpot_task131_1
460,hotpot,106,gpt-5-nano_hotpot_task132_2
461,hotpot,107,gpt-5-nano_hotpot_task132_3
462,hotpot,108,gpt-5-nano_hotpot_task135_1
463,hotpot,109,gpt-5-nano_hotpot_task136_3
464,hotpot,110,gpt-5-nano_hotpot_task138_2
465,hotpot,111,gpt-5-nano_hotpot_task138_3
466,hotpot,112,gpt-5-nano_hotpot_task140_2
467,hotpot,113,gpt-5-nano_hotpot_task140_3
468,hotpot,114,gpt-5-nano_hotpot_task141_2
469,hotpot,115,gpt-5-nano_hotpot_task142_1
470,hotpot,116,gpt-5-nano_hotpot_task142_3
471,hotpot,117,gpt-5-nano_hotpot_task143_1
472,hotpot,118,gpt-5-nano_hotpot_task143_2
473,hotpot,119,gpt-5-nano_hotpot_task143_3
474,hotpot,120,gpt-5-nano_hotpot_task144_1
475,hotpot,121,gpt-5-nano_hotpot_task145_2
476,hotpot,122,gpt-5-nano_hotpot_task145_3
477,hotpot,123,gpt-5-nano_hotpot_task14_2
478,hotpot,124,gpt-5-nano_hotpot_task150_2
479,hotpot,125,gpt-5-nano_hotpot_task150_3
480,hotpot,126,gpt-5-nano_hotpot_task151_1
481,hotpot,127,gpt-5-nano_hotpot_task151_2
482,hotpot,128,gpt-5-nano_hotpot_task151_3
483,hotpot,129,gpt-5-nano_hotpot_task154_1
484,hotpot,130,gpt-5-nano_hotpot_task154_2
485,hotpot,131,gpt-5-nano_hotpot_task154_3
486,hotpot,132,gpt-5-nano_hotpot_task155_1
487,hotpot,133,gpt-5-nano_hotpot_task155_2
488,hotpot,134,gpt-5-nano_hotpot_task156_2
489,hotpot,135,gpt-5-nano_hotpot_task156_3
490,hotpot,136,gpt-5-nano_hotpot_task158_1
491,hotpot,137,gpt-5-nano_hotpot_task158_2
492,hotpot,138,gpt-5-nano_hotpot_task161_1
493,hotpot,139,gpt-5-nano_hotpot_task161_2
494,hotpot,140,gpt-5-nano_hotpot_task162_2
495,hotpot,141,gpt-5-nano_hotpot_task163_1
496,hotpot,142,gpt-5-nano_hotpot_task163_3
497,hotpot,143,gpt-5-nano_hotpot_task164_1
498,hotpot,144,gpt-5-nano_hotpot_task164_3
499,hotpot,145,gpt-5-nano_hotpot_task166_1
500,hotpot,146,gpt-5-nano_hotpot_task166_3
501,hotpot,147,gpt-5-nano_hotpot_task167_1
502,hotpot,148,gpt-5-nano_hotpot_task167_2
503,hotpot,149,gpt-5-nano_hotpot_task167_3
504,hotpot,150,gpt-5-nano_hotpot_task168_1
505,hotpot,151,gpt-5-nano_hotpot_task168_2
506,hotpot,152,gpt-5-nano_hotpot_task168_3
507,hotpot,153,gpt-5-nano_hotpot_task169_1
508,hotpot,154,gpt-5-nano_hotpot_task169_2
509,hotpot,155,gpt-5-nano_hotpot_task169_3
510,hotpot,156,gpt-5-nano_hotpot_task16_1
511,hotpot,157,gpt-5-nano_hotpot_task16_2
512,hotpot,158,gpt-5-nano_hotpot_task16_3
513,hotpot,159,gpt-5-nano_hotpot_task170_1
514,hotpot,160,gpt-5-nano_hotpot_task175_1
515,hotpot,161,gpt-5-nano_hotpot_task175_3
516,hotpot,162,gpt-5-nano_hotpot_task176_1
517,hotpot,163,gpt-5-nano_hotpot_task176_3
518,hotpot,164,gpt-5-nano_hotpot_task179_1
519,hotpot,165,gpt-5-nano_hotpot_task179_3
520,hotpot,166,gpt-5-nano_hotpot_task17_1
521,hotpot,167,gpt-5-nano_hotpot_task17_2
522,hotpot,168,gpt-5-nano_hotpot_task17_3
523,hotpot,169,gpt-5-nano_hotpot_task185_3
524,hotpot,170,gpt-5-nano_hotpot_task186_1
525,hotpot,171,gpt-5-nano_hotpot_task186_2
526,hotpot,172,gpt-5-nano_hotpot_task188_2
527,hotpot,173,gpt-5-nano_hotpot_task189_1
528,hotpot,174,gpt-5-nano_hotpot_task189_2
529,hotpot,175,gpt-5-nano_hotpot_task189_3
530,hotpot,176,gpt-5-nano_hotpot_task18_2
531,hotpot,177,gpt-5-nano_hotpot_task18_3
532,hotpot,178,gpt-5-nano_hotpot_task190_1
533,hotpot,179,gpt-5-nano_hotpot_task190_2
534,hotpot,180,gpt-5-nano_hotpot_task190_3
535,hotpot,181,gpt-5-nano_hotpot_task192_1
