with_gt	judge	method	dataset	subset	seed	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring	family	train_seed
False	qwen3.5-9b	stepfinder.s45	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.12698412698412698	0.4126984126984127	0.4126984126984127	stepfinder	45
False	qwen3.5-9b	stepfinder.s45	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.14285714285714285	0.36507936507936506	0.36507936507936506	stepfinder	45
False	qwen3.5-9b	stepfinder.s45	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.1111111111111111	0.38095238095238093	0.38095238095238093	stepfinder	45
False	qwen3.5-9b	stepfinder.s46	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.19047619047619047	0.4444444444444444	0.4444444444444444	stepfinder	46
False	qwen3.5-9b	stepfinder.s46	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.2222222222222222	0.3968253968253968	0.3968253968253968	stepfinder	46
False	qwen3.5-9b	stepfinder.s46	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2222222222222222	0.5079365079365079	0.5079365079365079	stepfinder	46
False	deepseek-8b	oat.s42	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.14285714285714285	0.42857142857142855	0.42857142857142855	oat	42
False	deepseek-8b	oat.s42	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.4603174603174603	0.4603174603174603	oat	42
False	deepseek-8b	oat.s42	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.09523809523809523	0.4603174603174603	0.4603174603174603	oat	42
False	deepseek-8b	oat.s43	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.12698412698412698	0.38095238095238093	0.38095238095238093	oat	43
False	deepseek-8b	oat.s43	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.14285714285714285	0.4126984126984127	0.4126984126984127	oat	43
False	deepseek-8b	oat.s43	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.09523809523809523	0.4126984126984127	0.4126984126984127	oat	43
False	deepseek-8b	oat.s44	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.14285714285714285	0.3968253968253968	0.3968253968253968	oat	44
False	deepseek-8b	oat.s44	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.4444444444444444	0.4444444444444444	oat	44
False	deepseek-8b	oat.s44	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.06349206349206349	0.42857142857142855	0.42857142857142855	oat	44
False	deepseek-8b	oat.s45	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.14285714285714285	0.42857142857142855	0.42857142857142855	oat	45
False	deepseek-8b	oat.s45	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.4603174603174603	0.4603174603174603	oat	45
False	deepseek-8b	oat.s45	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.09523809523809523	0.4444444444444444	0.4444444444444444	oat	45
False	deepseek-8b	oat.s46	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.14285714285714285	0.3968253968253968	0.3968253968253968	oat	46
False	deepseek-8b	oat.s46	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.15873015873015872	0.3968253968253968	0.3968253968253968	oat	46
False	deepseek-8b	oat.s46	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.07936507936507936	0.3968253968253968	0.3968253968253968	oat	46
False	deepseek-8b	stepfinder.s42	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.19047619047619047	0.49206349206349204	0.49206349206349204	stepfinder	42
False	deepseek-8b	stepfinder.s42	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.19047619047619047	0.49206349206349204	0.49206349206349204	stepfinder	42
False	deepseek-8b	stepfinder.s42	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2698412698412698	0.5555555555555556	0.5555555555555556	stepfinder	42
False	deepseek-8b	stepfinder.s43	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.2222222222222222	0.47619047619047616	0.47619047619047616	stepfinder	43
False	deepseek-8b	stepfinder.s43	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.25396825396825395	0.5396825396825397	0.5396825396825397	stepfinder	43
False	deepseek-8b	stepfinder.s43	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2857142857142857	0.5396825396825397	0.5396825396825397	stepfinder	43
False	deepseek-8b	stepfinder.s44	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.15873015873015872	0.5079365079365079	0.5079365079365079	stepfinder	44
False	deepseek-8b	stepfinder.s44	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.1746031746031746	0.47619047619047616	0.47619047619047616	stepfinder	44
False	deepseek-8b	stepfinder.s44	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.19047619047619047	0.49206349206349204	0.49206349206349204	stepfinder	44
False	deepseek-8b	stepfinder.s45	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.07936507936507936	0.42857142857142855	0.42857142857142855	stepfinder	45
False	deepseek-8b	stepfinder.s45	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.07936507936507936	0.42857142857142855	0.42857142857142855	stepfinder	45
False	deepseek-8b	stepfinder.s45	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.1746031746031746	0.4603174603174603	0.4603174603174603	stepfinder	45
False	deepseek-8b	stepfinder.s46	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.15873015873015872	0.49206349206349204	0.49206349206349204	stepfinder	46
False	deepseek-8b	stepfinder.s46	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.19047619047619047	0.5079365079365079	0.5079365079365079	stepfinder	46
False	deepseek-8b	stepfinder.s46	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2222222222222222	0.4603174603174603	0.4603174603174603	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s42	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.25396825396825395	0.49206349206349204	0.49206349206349204	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.23809523809523808	0.47619047619047616	0.47619047619047616	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2222222222222222	0.5238095238095238	0.5238095238095238	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s43	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.25396825396825395	0.49206349206349204	0.49206349206349204	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.2698412698412698	0.4603174603174603	0.4603174603174603	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.23809523809523808	0.4444444444444444	0.4444444444444444	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s44	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.23809523809523808	0.49206349206349204	0.49206349206349204	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.2698412698412698	0.5079365079365079	0.5079365079365079	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.20634920634920634	0.4126984126984127	0.4126984126984127	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s45	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.19047619047619047	0.4444444444444444	0.4444444444444444	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.23809523809523808	0.4603174603174603	0.4603174603174603	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.15873015873015872	0.4444444444444444	0.4444444444444444	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s46	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.30158730158730157	0.4603174603174603	0.4603174603174603	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.30158730158730157	0.5079365079365079	0.5079365079365079	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2222222222222222	0.42857142857142855	0.42857142857142855	stepfinder	46
False	qwen3.5-9b	oat.s42	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.6206896551724138	0.6206896551724138	oat	42
False	qwen3.5-9b	oat.s42	ww	hand-crafted	14	13,14,15	58	29	0	0	0.06896551724137931	0.4482758620689655	0.4482758620689655	oat	42
False	qwen3.5-9b	oat.s42	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.5517241379310345	0.5517241379310345	oat	42
False	qwen3.5-9b	oat.s43	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.5172413793103449	0.5172413793103449	oat	43
False	qwen3.5-9b	oat.s43	ww	hand-crafted	14	13,14,15	58	29	0	0	0.06896551724137931	0.41379310344827586	0.41379310344827586	oat	43
False	qwen3.5-9b	oat.s43	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.4827586206896552	0.4827586206896552	oat	43
False	qwen3.5-9b	oat.s44	ww	hand-crafted	13	13,14,15	58	29	0	0	0.20689655172413793	0.6206896551724138	0.6206896551724138	oat	44
False	qwen3.5-9b	oat.s44	ww	hand-crafted	14	13,14,15	58	29	0	0	0.10344827586206896	0.4827586206896552	0.4827586206896552	oat	44
False	qwen3.5-9b	oat.s44	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.5862068965517241	0.5862068965517241	oat	44
False	qwen3.5-9b	oat.s45	ww	hand-crafted	13	13,14,15	58	29	0	0	0.20689655172413793	0.6206896551724138	0.6206896551724138	oat	45
False	qwen3.5-9b	oat.s45	ww	hand-crafted	14	13,14,15	58	29	0	0	0.10344827586206896	0.4482758620689655	0.4482758620689655	oat	45
False	qwen3.5-9b	oat.s45	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.5517241379310345	0.5517241379310345	oat	45
False	qwen3.5-9b	oat.s46	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.6206896551724138	0.6206896551724138	oat	46
False	qwen3.5-9b	oat.s46	ww	hand-crafted	14	13,14,15	58	29	0	0	0.06896551724137931	0.4482758620689655	0.4482758620689655	oat	46
False	qwen3.5-9b	oat.s46	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.5517241379310345	0.5517241379310345	oat	46
False	qwen3.5-9b	stepfinder.s42	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.41379310344827586	0.41379310344827586	stepfinder	42
False	qwen3.5-9b	stepfinder.s42	ww	hand-crafted	14	13,14,15	58	29	0	0	0.20689655172413793	0.3448275862068966	0.3448275862068966	stepfinder	42
False	qwen3.5-9b	stepfinder.s42	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.27586206896551724	0.27586206896551724	stepfinder	42
False	qwen3.5-9b	stepfinder.s43	ww	hand-crafted	13	13,14,15	58	29	0	0	0.13793103448275862	0.3793103448275862	0.3793103448275862	stepfinder	43
False	qwen3.5-9b	stepfinder.s43	ww	hand-crafted	14	13,14,15	58	29	0	0	0.13793103448275862	0.3793103448275862	0.3793103448275862	stepfinder	43
False	qwen3.5-9b	stepfinder.s43	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.3103448275862069	0.3103448275862069	stepfinder	43
False	qwen3.5-9b	stepfinder.s44	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.4827586206896552	0.4827586206896552	stepfinder	44
False	qwen3.5-9b	stepfinder.s44	ww	hand-crafted	14	13,14,15	58	29	0	0	0.2413793103448276	0.4827586206896552	0.4827586206896552	stepfinder	44
False	qwen3.5-9b	stepfinder.s44	ww	hand-crafted	15	13,14,15	58	29	0	0	0.1724137931034483	0.41379310344827586	0.41379310344827586	stepfinder	44
False	qwen3.5-9b	stepfinder.s45	ww	hand-crafted	13	13,14,15	58	29	0	0	0.034482758620689655	0.3103448275862069	0.3103448275862069	stepfinder	45
False	qwen3.5-9b	stepfinder.s45	ww	hand-crafted	14	13,14,15	58	29	0	0	0.06896551724137931	0.3793103448275862	0.3793103448275862	stepfinder	45
False	qwen3.5-9b	stepfinder.s45	ww	hand-crafted	15	13,14,15	58	29	0	0	0.06896551724137931	0.3103448275862069	0.3103448275862069	stepfinder	45
False	qwen3.5-9b	stepfinder.s46	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.41379310344827586	0.41379310344827586	stepfinder	46
False	qwen3.5-9b	stepfinder.s46	ww	hand-crafted	14	13,14,15	58	29	0	0	0.20689655172413793	0.3793103448275862	0.3793103448275862	stepfinder	46
False	qwen3.5-9b	stepfinder.s46	ww	hand-crafted	15	13,14,15	58	29	0	0	0.06896551724137931	0.27586206896551724	0.27586206896551724	stepfinder	46
False	deepseek-8b	oat.s42	ww	hand-crafted	13	13,14,15	58	29	0	0	0.3103448275862069	0.6551724137931034	0.6551724137931034	oat	42
False	deepseek-8b	oat.s42	ww	hand-crafted	14	13,14,15	58	29	0	0	0.1724137931034483	0.5517241379310345	0.5517241379310345	oat	42
False	deepseek-8b	oat.s42	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.5517241379310345	0.5517241379310345	oat	42
False	deepseek-8b	oat.s43	ww	hand-crafted	13	13,14,15	58	29	0	0	0.27586206896551724	0.6206896551724138	0.6206896551724138	oat	43
False	deepseek-8b	oat.s43	ww	hand-crafted	14	13,14,15	58	29	0	0	0.13793103448275862	0.4827586206896552	0.4827586206896552	oat	43
False	deepseek-8b	oat.s43	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.4827586206896552	0.4827586206896552	oat	43
False	deepseek-8b	oat.s44	ww	hand-crafted	13	13,14,15	58	29	0	0	0.2413793103448276	0.6551724137931034	0.6551724137931034	oat	44
False	deepseek-8b	oat.s44	ww	hand-crafted	14	13,14,15	58	29	0	0	0.13793103448275862	0.5517241379310345	0.5517241379310345	oat	44
False	deepseek-8b	oat.s44	ww	hand-crafted	15	13,14,15	58	29	0	0	0.06896551724137931	0.5172413793103449	0.5172413793103449	oat	44
False	deepseek-8b	oat.s45	ww	hand-crafted	13	13,14,15	58	29	0	0	0.20689655172413793	0.6551724137931034	0.6551724137931034	oat	45
False	deepseek-8b	oat.s45	ww	hand-crafted	14	13,14,15	58	29	0	0	0.10344827586206896	0.5517241379310345	0.5517241379310345	oat	45
False	deepseek-8b	oat.s45	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.5172413793103449	0.5172413793103449	oat	45
False	deepseek-8b	oat.s46	ww	hand-crafted	13	13,14,15	58	29	0	0	0.3103448275862069	0.6551724137931034	0.6551724137931034	oat	46
False	deepseek-8b	oat.s46	ww	hand-crafted	14	13,14,15	58	29	0	0	0.13793103448275862	0.5172413793103449	0.5172413793103449	oat	46
False	deepseek-8b	oat.s46	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.4827586206896552	0.4827586206896552	oat	46
False	deepseek-8b	stepfinder.s42	ww	hand-crafted	13	13,14,15	58	29	0	0	0.13793103448275862	0.41379310344827586	0.41379310344827586	stepfinder	42
False	deepseek-8b	stepfinder.s42	ww	hand-crafted	14	13,14,15	58	29	0	0	0.1724137931034483	0.4482758620689655	0.4482758620689655	stepfinder	42
False	deepseek-8b	stepfinder.s42	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.41379310344827586	0.41379310344827586	stepfinder	42
False	deepseek-8b	stepfinder.s43	ww	hand-crafted	13	13,14,15	58	29	0	0	0.0	0.27586206896551724	0.27586206896551724	stepfinder	43
False	deepseek-8b	stepfinder.s43	ww	hand-crafted	14	13,14,15	58	29	0	0	0.034482758620689655	0.3793103448275862	0.3793103448275862	stepfinder	43
False	deepseek-8b	stepfinder.s43	ww	hand-crafted	15	13,14,15	58	29	0	0	0.06896551724137931	0.20689655172413793	0.20689655172413793	stepfinder	43
False	deepseek-8b	stepfinder.s44	ww	hand-crafted	13	13,14,15	58	29	0	0	0.06896551724137931	0.3793103448275862	0.3793103448275862	stepfinder	44
False	deepseek-8b	stepfinder.s44	ww	hand-crafted	14	13,14,15	58	29	0	0	0.10344827586206896	0.3793103448275862	0.3793103448275862	stepfinder	44
False	deepseek-8b	stepfinder.s44	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.3448275862068966	0.3448275862068966	stepfinder	44
False	deepseek-8b	stepfinder.s45	ww	hand-crafted	13	13,14,15	58	29	0	0	0.13793103448275862	0.5172413793103449	0.5172413793103449	stepfinder	45
False	deepseek-8b	stepfinder.s45	ww	hand-crafted	14	13,14,15	58	29	0	0	0.2413793103448276	0.5517241379310345	0.5517241379310345	stepfinder	45
False	deepseek-8b	stepfinder.s45	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.4482758620689655	0.4482758620689655	stepfinder	45
False	deepseek-8b	stepfinder.s46	ww	hand-crafted	13	13,14,15	58	29	0	0	0.10344827586206896	0.4827586206896552	0.4827586206896552	stepfinder	46
False	deepseek-8b	stepfinder.s46	ww	hand-crafted	14	13,14,15	58	29	0	0	0.20689655172413793	0.5172413793103449	0.5172413793103449	stepfinder	46
False	deepseek-8b	stepfinder.s46	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.41379310344827586	0.41379310344827586	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s42	ww	hand-crafted	13	13,14,15	58	29	0	0	0.1724137931034483	0.5862068965517241	0.5862068965517241	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	ww	hand-crafted	14	13,14,15	58	29	0	0	0.034482758620689655	0.3793103448275862	0.3793103448275862	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.3103448275862069	0.3103448275862069	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s43	ww	hand-crafted	13	13,14,15	58	29	0	0	0.10344827586206896	0.4482758620689655	0.4482758620689655	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	ww	hand-crafted	14	13,14,15	58	29	0	0	0.06896551724137931	0.4827586206896552	0.4827586206896552	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	ww	hand-crafted	15	13,14,15	58	29	0	0	0.13793103448275862	0.5517241379310345	0.5517241379310345	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s44	ww	hand-crafted	13	13,14,15	58	29	0	0	0.06896551724137931	0.4827586206896552	0.4827586206896552	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	ww	hand-crafted	14	13,14,15	58	29	0	0	0.13793103448275862	0.4482758620689655	0.4482758620689655	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	ww	hand-crafted	15	13,14,15	58	29	0	0	0.1724137931034483	0.4827586206896552	0.4827586206896552	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s45	ww	hand-crafted	13	13,14,15	58	29	0	0	0.10344827586206896	0.4827586206896552	0.4827586206896552	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	ww	hand-crafted	14	13,14,15	58	29	0	0	0.10344827586206896	0.41379310344827586	0.41379310344827586	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.3448275862068966	0.3448275862068966	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s46	ww	hand-crafted	13	13,14,15	58	29	0	0	0.20689655172413793	0.5172413793103449	0.5172413793103449	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	ww	hand-crafted	14	13,14,15	58	29	0	0	0.13793103448275862	0.4482758620689655	0.4482758620689655	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	ww	hand-crafted	15	13,14,15	58	29	0	0	0.10344827586206896	0.3448275862068966	0.3448275862068966	stepfinder	46
False	qwen3.5-9b	oat.s42	traceelephant	magentic	15	15,16,17	91	46	0	0	0.21739130434782608	0.5217391304347826	0.5217391304347826	oat	42
False	qwen3.5-9b	oat.s42	traceelephant	magentic	16	15,16,17	91	46	0	0	0.1956521739130435	0.6304347826086957	0.6304347826086957	oat	42
False	qwen3.5-9b	oat.s42	traceelephant	magentic	17	15,16,17	91	46	0	0	0.17391304347826086	0.6521739130434783	0.6521739130434783	oat	42
False	qwen3.5-9b	oat.s43	traceelephant	magentic	15	15,16,17	91	46	0	0	0.21739130434782608	0.5434782608695652	0.5434782608695652	oat	43
False	qwen3.5-9b	oat.s43	traceelephant	magentic	16	15,16,17	91	46	0	0	0.1956521739130435	0.6521739130434783	0.6521739130434783	oat	43
False	qwen3.5-9b	oat.s43	traceelephant	magentic	17	15,16,17	91	46	0	0	0.15217391304347827	0.6739130434782609	0.6739130434782609	oat	43
False	qwen3.5-9b	oat.s44	traceelephant	magentic	15	15,16,17	91	46	0	0	0.2391304347826087	0.6086956521739131	0.6086956521739131	oat	44
False	qwen3.5-9b	oat.s44	traceelephant	magentic	16	15,16,17	91	46	0	0	0.17391304347826086	0.6739130434782609	0.6739130434782609	oat	44
False	qwen3.5-9b	oat.s44	traceelephant	magentic	17	15,16,17	91	46	0	0	0.15217391304347827	0.6956521739130435	0.6956521739130435	oat	44
False	qwen3.5-9b	oat.s45	traceelephant	magentic	15	15,16,17	91	46	0	0	0.2391304347826087	0.5217391304347826	0.5217391304347826	oat	45
False	qwen3.5-9b	oat.s45	traceelephant	magentic	16	15,16,17	91	46	0	0	0.17391304347826086	0.6739130434782609	0.6739130434782609	oat	45
False	qwen3.5-9b	oat.s45	traceelephant	magentic	17	15,16,17	91	46	0	0	0.17391304347826086	0.6521739130434783	0.6521739130434783	oat	45
False	qwen3.5-9b	oat.s46	traceelephant	magentic	15	15,16,17	91	46	0	0	0.21739130434782608	0.5217391304347826	0.5217391304347826	oat	46
False	qwen3.5-9b	oat.s46	traceelephant	magentic	16	15,16,17	91	46	0	0	0.15217391304347827	0.6304347826086957	0.6304347826086957	oat	46
False	qwen3.5-9b	oat.s46	traceelephant	magentic	17	15,16,17	91	46	0	0	0.15217391304347827	0.6521739130434783	0.6521739130434783	oat	46
False	qwen3.5-9b	stepfinder.s42	traceelephant	magentic	15	15,16,17	91	46	0	0	0.10869565217391304	0.5652173913043478	0.5652173913043478	stepfinder	42
False	qwen3.5-9b	stepfinder.s42	traceelephant	magentic	16	15,16,17	91	46	0	0	0.06521739130434782	0.6304347826086957	0.6304347826086957	stepfinder	42
False	qwen3.5-9b	stepfinder.s42	traceelephant	magentic	17	15,16,17	91	46	0	0	0.10869565217391304	0.6086956521739131	0.6086956521739131	stepfinder	42
False	qwen3.5-9b	stepfinder.s43	traceelephant	magentic	15	15,16,17	91	46	0	0	0.043478260869565216	0.5	0.5	stepfinder	43
False	qwen3.5-9b	stepfinder.s43	traceelephant	magentic	16	15,16,17	91	46	0	0	0.043478260869565216	0.4782608695652174	0.4782608695652174	stepfinder	43
False	qwen3.5-9b	stepfinder.s43	traceelephant	magentic	17	15,16,17	91	46	0	0	0.043478260869565216	0.5652173913043478	0.5652173913043478	stepfinder	43
False	qwen3.5-9b	stepfinder.s44	traceelephant	magentic	15	15,16,17	91	46	0	0	0.043478260869565216	0.5652173913043478	0.5652173913043478	stepfinder	44
False	qwen3.5-9b	stepfinder.s44	traceelephant	magentic	16	15,16,17	91	46	0	0	0.08695652173913043	0.5869565217391305	0.5869565217391305	stepfinder	44
