with_gt	judge	method	dataset	subset	seed	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring
False	gpt-4o	chief	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.30158730158730157	0.42857142857142855	0.42857142857142855
False	gpt-4o	raffles	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.4126984126984127	0.5873015873015873	0.5873015873015873
False	gpt-4o	raffles	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.47619047619047616	0.5714285714285714	0.5714285714285714
False	gpt-4o	raffles	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.3968253968253968	0.6031746031746031	0.6031746031746031
False	gpt-5	all_at_once	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.1746031746031746	0.5555555555555556	0.5555555555555556
False	gpt-5	all_at_once	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.19047619047619047	0.6507936507936508	0.6507936507936508
False	gpt-5	all_at_once	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.19047619047619047	0.6507936507936508	0.6507936507936508
False	gpt-5	step_by_step	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.25396825396825395	0.49206349206349204	0.49206349206349204
False	gpt-5	step_by_step	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.23809523809523808	0.4444444444444444	0.4444444444444444
False	gpt-5	step_by_step	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.23809523809523808	0.4603174603174603	0.4603174603174603
False	gpt-5	binary_search	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.4126984126984127	0.5555555555555556	0.5555555555555556
False	gpt-5	binary_search	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.42857142857142855	0.6031746031746031	0.6031746031746031
False	gpt-5	binary_search	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.4126984126984127	0.6349206349206349	0.6349206349206349
False	gpt-5	correct	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.19047619047619047	0.5714285714285714	0.5714285714285714
False	gpt-5	correct	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.25396825396825395	0.6031746031746031	0.6031746031746031
False	gpt-5	correct	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.30158730158730157	0.5873015873015873	0.5873015873015873
False	gpt-5	chief	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.30158730158730157	0.4603174603174603	0.4603174603174603
False	gpt-5	chief	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.25396825396825395	0.5396825396825397	0.5396825396825397
False	gpt-5	chief	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.2698412698412698	0.5714285714285714	0.5714285714285714
False	gpt-5	raffles	ww	algorithm-generated	3	3,4,5	126	63	0	0	0.3968253968253968	0.5714285714285714	0.5714285714285714
False	gpt-5	raffles	ww	algorithm-generated	4	3,4,5	126	63	0	0	0.42857142857142855	0.6031746031746031	0.6031746031746031
False	gpt-5	raffles	ww	algorithm-generated	5	3,4,5	126	63	0	0	0.36507936507936506	0.5714285714285714	0.5714285714285714
False	gpt-4o	all_at_once	ww	hand-crafted	13	13,14,15	58	29	0	1	0.06896551724137931	0.6206896551724138	0.6206896551724138
False	gpt-4o	all_at_once	ww	hand-crafted	14	13,14,15	58	29	0	0	0.06896551724137931	0.5862068965517241	0.5862068965517241
False	gpt-4o	all_at_once	ww	hand-crafted	15	13,14,15	58	29	0	0	0.06896551724137931	0.5862068965517241	0.5862068965517241
False	gpt-4o	step_by_step	ww	hand-crafted	13	13,14,15	58	29	0	6	0.06896551724137931	0.41379310344827586	0.41379310344827586
False	gpt-4o	step_by_step	ww	hand-crafted	14	13,14,15	58	29	0	5	0.13793103448275862	0.4827586206896552	0.4827586206896552
False	gpt-4o	step_by_step	ww	hand-crafted	15	13,14,15	58	29	0	2	0.20689655172413793	0.5862068965517241	0.5862068965517241
False	gpt-4o	binary_search	ww	hand-crafted	13	13,14,15	58	29	0	0	0.06896551724137931	0.13793103448275862	0.13793103448275862
False	gpt-4o	binary_search	ww	hand-crafted	14	13,14,15	58	29	0	0	0.034482758620689655	0.13793103448275862	0.13793103448275862
False	gpt-4o	binary_search	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.10344827586206896	0.10344827586206896
False	gpt-4o	correct	ww	hand-crafted	13	13,14,15	58	29	0	0	0.06896551724137931	0.5517241379310345	0.5517241379310345
False	gpt-4o	correct	ww	hand-crafted	14	13,14,15	58	29	0	0	0.034482758620689655	0.5172413793103449	0.5172413793103449
False	gpt-4o	correct	ww	hand-crafted	15	13,14,15	58	29	0	0	0.034482758620689655	0.5517241379310345	0.5517241379310345
False	gpt-4o	chief	ww	hand-crafted	13	13,14,15	58	29	0	0	0.13793103448275862	0.5172413793103449	0.5172413793103449
False	gpt-4o	chief	ww	hand-crafted	14	13,14,15	58	29	0	0	0.1724137931034483	0.4827586206896552	0.4827586206896552
False	gpt-4o	chief	ww	hand-crafted	15	13,14,15	58	29	0	0	0.13793103448275862	0.4482758620689655	0.4482758620689655
False	gpt-4o	raffles	ww	hand-crafted	13	13,14,15	58	29	0	0	0.3448275862068966	0.5862068965517241	0.5862068965517241
False	gpt-4o	raffles	ww	hand-crafted	14	13,14,15	58	29	0	0	0.20689655172413793	0.4827586206896552	0.4827586206896552
False	gpt-4o	raffles	ww	hand-crafted	15	13,14,15	58	29	0	0	0.20689655172413793	0.4827586206896552	0.4827586206896552
False	gpt-5	all_at_once	ww	hand-crafted	13	13,14,15	58	29	0	1	0.034482758620689655	0.41379310344827586	0.41379310344827586
False	gpt-5	all_at_once	ww	hand-crafted	14	13,14,15	58	29	0	0	0.034482758620689655	0.5172413793103449	0.5172413793103449
False	gpt-5	all_at_once	ww	hand-crafted	15	13,14,15	58	29	0	0	0.06896551724137931	0.4482758620689655	0.4482758620689655
False	gpt-5	step_by_step	ww	hand-crafted	13	13,14,15	58	29	0	0	0.20689655172413793	0.4827586206896552	0.4827586206896552
False	gpt-5	step_by_step	ww	hand-crafted	14	13,14,15	58	29	0	2	0.1724137931034483	0.4827586206896552	0.4827586206896552
False	gpt-5	step_by_step	ww	hand-crafted	15	13,14,15	58	29	0	2	0.1724137931034483	0.4482758620689655	0.4482758620689655
False	gpt-5	binary_search	ww	hand-crafted	13	13,14,15	58	29	0	0	0.20689655172413793	0.5517241379310345	0.5517241379310345
False	gpt-5	binary_search	ww	hand-crafted	14	13,14,15	58	29	0	0	0.2413793103448276	0.6206896551724138	0.6206896551724138
False	gpt-5	binary_search	ww	hand-crafted	15	13,14,15	58	29	0	0	0.20689655172413793	0.6551724137931034	0.6551724137931034
False	gpt-5	correct	ww	hand-crafted	13	13,14,15	58	29	0	0	0.13793103448275862	0.5172413793103449	0.5172413793103449
False	gpt-5	correct	ww	hand-crafted	14	13,14,15	58	29	0	0	0.10344827586206896	0.5172413793103449	0.5172413793103449
False	gpt-5	correct	ww	hand-crafted	15	13,14,15	58	29	0	0	0.1724137931034483	0.4827586206896552	0.4827586206896552
False	gpt-5	chief	ww	hand-crafted	13	13,14,15	58	29	0	0	0.27586206896551724	0.6206896551724138	0.6206896551724138
False	gpt-5	chief	ww	hand-crafted	14	13,14,15	58	29	0	0	0.3103448275862069	0.6551724137931034	0.6551724137931034
False	gpt-5	chief	ww	hand-crafted	15	13,14,15	58	29	0	0	0.1724137931034483	0.6206896551724138	0.6206896551724138
False	gpt-5	raffles	ww	hand-crafted	13	13,14,15	58	29	0	0	0.3793103448275862	0.4827586206896552	0.4827586206896552
False	gpt-5	raffles	ww	hand-crafted	14	13,14,15	58	29	0	0	0.3793103448275862	0.6896551724137931	0.6896551724137931
False	gpt-5	raffles	ww	hand-crafted	15	13,14,15	58	29	0	0	0.3103448275862069	0.5172413793103449	0.5172413793103449
False	gpt-4o	all_at_once	traceelephant	magentic	15	15,16,17	91	46	0	0	0.043478260869565216	0.6304347826086957	0.6304347826086957
False	gpt-4o	all_at_once	traceelephant	magentic	16	15,16,17	91	46	0	0	0.08695652173913043	0.6521739130434783	0.6521739130434783
False	gpt-4o	all_at_once	traceelephant	magentic	17	15,16,17	91	46	0	0	0.043478260869565216	0.717391304347826	0.717391304347826
False	gpt-4o	step_by_step	traceelephant	magentic	15	15,16,17	91	46	0	9	0.13043478260869565	0.5	0.5
False	gpt-4o	step_by_step	traceelephant	magentic	16	15,16,17	91	46	0	14	0.08695652173913043	0.5434782608695652	0.5434782608695652
False	gpt-4o	step_by_step	traceelephant	magentic	17	15,16,17	91	46	0	14	0.17391304347826086	0.5652173913043478	0.5652173913043478
False	gpt-4o	binary_search	traceelephant	magentic	15	15,16,17	91	46	0	0	0.06521739130434782	0.5217391304347826	0.5217391304347826
False	gpt-4o	binary_search	traceelephant	magentic	16	15,16,17	91	46	0	0	0.06521739130434782	0.5	0.5
False	gpt-4o	binary_search	traceelephant	magentic	17	15,16,17	91	46	0	0	0.06521739130434782	0.5	0.5
False	gpt-4o	correct	traceelephant	magentic	15	15,16,17	91	46	0	0	0.10869565217391304	0.7391304347826086	0.7391304347826086
False	gpt-4o	correct	traceelephant	magentic	16	15,16,17	91	46	0	0	0.17391304347826086	0.7608695652173914	0.7608695652173914
False	gpt-4o	correct	traceelephant	magentic	17	15,16,17	91	46	0	0	0.13043478260869565	0.782608695652174	0.782608695652174
False	gpt-4o	chief	traceelephant	magentic	15	15,16,17	91	46	0	0	0.10869565217391304	0.6304347826086957	0.6304347826086957
False	gpt-4o	chief	traceelephant	magentic	16	15,16,17	91	46	0	0	0.10869565217391304	0.6304347826086957	0.6304347826086957
False	gpt-4o	chief	traceelephant	magentic	17	15,16,17	91	46	0	0	0.043478260869565216	0.6739130434782609	0.6739130434782609
False	gpt-4o	raffles	traceelephant	magentic	15	15,16,17	91	46	0	0	0.15217391304347827	0.5434782608695652	0.5434782608695652
False	gpt-4o	raffles	traceelephant	magentic	16	15,16,17	91	46	0	0	0.21739130434782608	0.6086956521739131	0.6086956521739131
False	gpt-4o	raffles	traceelephant	magentic	17	15,16,17	91	46	0	0	0.15217391304347827	0.6521739130434783	0.6521739130434783
False	gpt-5	all_at_once	traceelephant	magentic	15	15,16,17	91	46	0	0	0.10869565217391304	0.6739130434782609	0.6739130434782609
False	gpt-5	all_at_once	traceelephant	magentic	16	15,16,17	91	46	0	0	0.08695652173913043	0.6956521739130435	0.6956521739130435
False	gpt-5	all_at_once	traceelephant	magentic	17	15,16,17	91	46	0	0	0.13043478260869565	0.6739130434782609	0.6739130434782609
False	gpt-5	step_by_step	traceelephant	magentic	15	15,16,17	91	46	0	0	0.06521739130434782	0.6304347826086957	0.6304347826086957
False	gpt-5	step_by_step	traceelephant	magentic	16	15,16,17	91	46	0	0	0.06521739130434782	0.6521739130434783	0.6521739130434783
False	gpt-5	step_by_step	traceelephant	magentic	17	15,16,17	91	46	0	0	0.06521739130434782	0.6739130434782609	0.6739130434782609
False	gpt-5	binary_search	traceelephant	magentic	15	15,16,17	91	46	0	0	0.1956521739130435	0.6739130434782609	0.6739130434782609
False	gpt-5	binary_search	traceelephant	magentic	16	15,16,17	91	46	0	0	0.21739130434782608	0.717391304347826	0.717391304347826
False	gpt-5	binary_search	traceelephant	magentic	17	15,16,17	91	46	0	0	0.1956521739130435	0.6956521739130435	0.6956521739130435
False	gpt-5	correct	traceelephant	magentic	15	15,16,17	91	46	0	0	0.21739130434782608	0.6956521739130435	0.6956521739130435
False	gpt-5	correct	traceelephant	magentic	16	15,16,17	91	46	0	0	0.2826086956521739	0.6956521739130435	0.6956521739130435
False	gpt-5	correct	traceelephant	magentic	17	15,16,17	91	46	0	0	0.21739130434782608	0.6956521739130435	0.6956521739130435
False	gpt-5	chief	traceelephant	magentic	15	15,16,17	91	46	0	0	0.17391304347826086	0.6086956521739131	0.6086956521739131
False	gpt-5	chief	traceelephant	magentic	16	15,16,17	91	46	0	0	0.21739130434782608	0.6304347826086957	0.6304347826086957
False	gpt-5	chief	traceelephant	magentic	17	15,16,17	91	46	0	0	0.10869565217391304	0.6521739130434783	0.6521739130434783
False	gpt-5	raffles	traceelephant	magentic	15	15,16,17	91	46	0	0	0.32608695652173914	0.6956521739130435	0.6956521739130435
False	gpt-5	raffles	traceelephant	magentic	16	15,16,17	91	46	0	0	0.34782608695652173	0.7608695652173914	0.7608695652173914
False	gpt-5	raffles	traceelephant	magentic	17	15,16,17	91	46	0	0	0.32608695652173914	0.782608695652174	0.782608695652174
False	gpt-4o	all_at_once	traceelephant	captain	22	22,23,24	85	43	0	0	0.11627906976744186	0.6976744186046512	0.6976744186046512
False	gpt-4o	all_at_once	traceelephant	captain	23	22,23,24	85	43	0	0	0.18604651162790697	0.6511627906976745	0.6511627906976745
False	gpt-4o	all_at_once	traceelephant	captain	24	22,23,24	85	43	0	0	0.18604651162790697	0.6744186046511628	0.6744186046511628
False	gpt-4o	step_by_step	traceelephant	captain	22	22,23,24	85	43	0	10	0.16279069767441862	0.4883720930232558	0.4883720930232558
False	gpt-4o	step_by_step	traceelephant	captain	23	22,23,24	85	43	0	13	0.046511627906976744	0.3953488372093023	0.3953488372093023
False	gpt-4o	step_by_step	traceelephant	captain	24	22,23,24	85	43	0	9	0.20930232558139536	0.5348837209302325	0.5348837209302325
False	gpt-4o	binary_search	traceelephant	captain	22	22,23,24	85	43	0	0	0.11627906976744186	0.13953488372093023	0.13953488372093023
False	gpt-4o	binary_search	traceelephant	captain	23	22,23,24	85	43	0	0	0.06976744186046512	0.27906976744186046	0.27906976744186046
False	gpt-4o	binary_search	traceelephant	captain	24	22,23,24	85	43	0	0	0.09302325581395349	0.20930232558139536	0.20930232558139536
False	gpt-4o	correct	traceelephant	captain	22	22,23,24	85	43	0	0	0.046511627906976744	0.6744186046511628	0.6744186046511628
False	gpt-4o	correct	traceelephant	captain	23	22,23,24	85	43	0	0	0.11627906976744186	0.6511627906976745	0.6511627906976745
False	gpt-4o	correct	traceelephant	captain	24	22,23,24	85	43	0	0	0.16279069767441862	0.6744186046511628	0.6744186046511628
False	gpt-4o	chief	traceelephant	captain	22	22,23,24	85	43	0	0	0.16279069767441862	0.6046511627906976	0.6046511627906976
False	gpt-4o	chief	traceelephant	captain	23	22,23,24	85	43	0	0	0.11627906976744186	0.6046511627906976	0.6046511627906976
False	gpt-4o	chief	traceelephant	captain	24	22,23,24	85	43	0	0	0.13953488372093023	0.6046511627906976	0.6046511627906976
False	gpt-4o	raffles	traceelephant	captain	22	22,23,24	85	43	0	0	0.2558139534883721	0.6511627906976745	0.6511627906976745
False	gpt-4o	raffles	traceelephant	captain	23	22,23,24	85	43	0	0	0.2558139534883721	0.627906976744186	0.627906976744186
False	gpt-4o	raffles	traceelephant	captain	24	22,23,24	85	43	0	0	0.23255813953488372	0.6046511627906976	0.6046511627906976
False	gpt-5	all_at_once	traceelephant	captain	22	22,23,24	85	43	0	0	0.09302325581395349	0.627906976744186	0.627906976744186
False	gpt-5	all_at_once	traceelephant	captain	23	22,23,24	85	43	0	0	0.16279069767441862	0.6511627906976745	0.6511627906976745
False	gpt-5	all_at_once	traceelephant	captain	24	22,23,24	85	43	0	0	0.06976744186046512	0.627906976744186	0.627906976744186
False	gpt-5	step_by_step	traceelephant	captain	22	22,23,24	85	43	0	0	0.16279069767441862	0.46511627906976744	0.46511627906976744
False	gpt-5	step_by_step	traceelephant	captain	23	22,23,24	85	43	0	0	0.18604651162790697	0.5116279069767442	0.5116279069767442
False	gpt-5	step_by_step	traceelephant	captain	24	22,23,24	85	43	0	0	0.18604651162790697	0.5348837209302325	0.5348837209302325
False	gpt-5	binary_search	traceelephant	captain	22	22,23,24	85	43	0	0	0.23255813953488372	0.5813953488372093	0.5813953488372093
False	gpt-5	binary_search	traceelephant	captain	23	22,23,24	85	43	0	0	0.27906976744186046	0.5581395348837209	0.5581395348837209
False	gpt-5	binary_search	traceelephant	captain	24	22,23,24	85	43	0	0	0.20930232558139536	0.5581395348837209	0.5581395348837209
False	gpt-5	correct	traceelephant	captain	22	22,23,24	85	43	0	0	0.20930232558139536	0.6511627906976745	0.6511627906976745
False	gpt-5	correct	traceelephant	captain	23	22,23,24	85	43	0	0	0.20930232558139536	0.627906976744186	0.627906976744186
False	gpt-5	correct	traceelephant	captain	24	22,23,24	85	43	0	0	0.20930232558139536	0.6046511627906976	0.6046511627906976
False	gpt-5	chief	traceelephant	captain	22	22,23,24	85	43	0	0	0.18604651162790697	0.5116279069767442	0.5116279069767442
False	gpt-5	chief	traceelephant	captain	23	22,23,24	85	43	0	0	0.27906976744186046	0.5116279069767442	0.5116279069767442
False	gpt-5	chief	traceelephant	captain	24	22,23,24	85	43	0	0	0.20930232558139536	0.5348837209302325	0.5348837209302325
False	gpt-5	raffles	traceelephant	captain	22	22,23,24	85	43	0	0	0.2558139534883721	0.627906976744186	0.627906976744186
False	gpt-5	raffles	traceelephant	captain	23	22,23,24	85	43	0	0	0.3953488372093023	0.6511627906976745	0.6511627906976745
False	gpt-5	raffles	traceelephant	captain	24	22,23,24	85	43	0	0	0.3488372093023256	0.6744186046511628	0.6744186046511628
False	gpt-4o	all_at_once	correct-error	arc	17	17,18,19	304	152	0	0	0.5657894736842105	0.8947368421052632	0.8947368421052632
False	gpt-4o	all_at_once	correct-error	arc	18	17,18,19	304	152	0	0	0.5197368421052632	0.9210526315789473	0.9210526315789473
False	gpt-4o	all_at_once	correct-error	arc	19	17,18,19	304	152	0	0	0.4605263157894737	0.8552631578947368	0.8552631578947368
False	gpt-4o	step_by_step	correct-error	arc	17	17,18,19	304	152	0	21	0.7105263157894737	0.7302631578947368	0.7302631578947368
False	gpt-4o	step_by_step	correct-error	arc	18	17,18,19	304	152	0	22	0.7171052631578947	0.7368421052631579	0.7368421052631579
False	gpt-4o	step_by_step	correct-error	arc	19	17,18,19	304	152	0	19	0.7105263157894737	0.7368421052631579	0.7368421052631579
False	gpt-4o	binary_search	correct-error	arc	17	17,18,19	304	152	0	0	0.24342105263157895	0.21710526315789475	0.21710526315789475
False	gpt-4o	binary_search	correct-error	arc	18	17,18,19	304	152	0	0	0.2631578947368421	0.24342105263157895	0.24342105263157895
False	gpt-4o	binary_search	correct-error	arc	19	17,18,19	304	152	0	0	0.23026315789473684	0.21052631578947367	0.21052631578947367
False	gpt-4o	correct	correct-error	arc	17	17,18,19	304	152	0	2	0.6710526315789473	0.881578947368421	0.881578947368421
False	gpt-4o	correct	correct-error	arc	18	17,18,19	304	152	0	2	0.7039473684210527	0.9078947368421053	0.9078947368421053
False	gpt-4o	correct	correct-error	arc	19	17,18,19	304	152	0	2	0.6447368421052632	0.8552631578947368	0.8552631578947368
False	gpt-4o	chief	correct-error	arc	17	17,18,19	304	152	0	0	0.6973684210526315	0.8881578947368421	0.8881578947368421
False	gpt-4o	chief	correct-error	arc	18	17,18,19	304	152	0	0	0.7368421052631579	0.9013157894736842	0.9013157894736842
False	gpt-4o	chief	correct-error	arc	19	17,18,19	304	152	0	0	0.7105263157894737	0.8486842105263158	0.8486842105263158
False	gpt-4o	raffles	correct-error	arc	17	17,18,19	304	152	0	0	0.8157894736842105	0.8947368421052632	0.8947368421052632
False	gpt-4o	raffles	correct-error	arc	18	17,18,19	304	152	0	0	0.8486842105263158	0.9078947368421053	0.9078947368421053
False	gpt-4o	raffles	correct-error	arc	19	17,18,19	304	152	0	0	0.8026315789473685	0.875	0.875
False	gpt-5	all_at_once	correct-error	arc	17	17,18,19	304	152	0	0	0.7171052631578947	0.9144736842105263	0.9144736842105263
False	gpt-5	all_at_once	correct-error	arc	18	17,18,19	304	152	0	0	0.7302631578947368	0.9210526315789473	0.9210526315789473
False	gpt-5	all_at_once	correct-error	arc	19	17,18,19	304	152	0	0	0.756578947368421	0.8881578947368421	0.8881578947368421
False	gpt-5	step_by_step	correct-error	arc	17	17,18,19	304	152	0	3	0.8947368421052632	0.9013157894736842	0.9013157894736842
False	gpt-5	step_by_step	correct-error	arc	18	17,18,19	304	152	0	1	0.8947368421052632	0.9210526315789473	0.9210526315789473
False	gpt-5	step_by_step	correct-error	arc	19	17,18,19	304	152	0	4	0.875	0.875	0.875
False	gpt-5	binary_search	correct-error	arc	17	17,18,19	304	152	0	0	0.9078947368421053	0.8947368421052632	0.8947368421052632
False	gpt-5	binary_search	correct-error	arc	18	17,18,19	304	152	0	0	0.9210526315789473	0.9276315789473685	0.9276315789473685
False	gpt-5	binary_search	correct-error	arc	19	17,18,19	304	152	0	0	0.9013157894736842	0.8881578947368421	0.8881578947368421
False	gpt-5	correct	correct-error	arc	17	17,18,19	304	152	0	0	0.47368421052631576	0.9078947368421053	0.9078947368421053
False	gpt-5	correct	correct-error	arc	18	17,18,19	304	152	0	0	0.5131578947368421	0.9078947368421053	0.9078947368421053
False	gpt-5	correct	correct-error	arc	19	17,18,19	304	152	0	0	0.5394736842105263	0.881578947368421	0.881578947368421
False	gpt-4o	all_at_once	correct-error	gaia	17	17,18,19	50	25	0	0	0.28	0.88	0.88
False	gpt-4o	all_at_once	correct-error	gaia	18	17,18,19	50	25	0	0	0.24	0.72	0.72
False	gpt-4o	all_at_once	correct-error	gaia	19	17,18,19	50	25	0	0	0.32	0.84	0.84
False	gpt-4o	step_by_step	correct-error	gaia	17	17,18,19	50	25	0	6	0.16	0.32	0.32
False	gpt-4o	step_by_step	correct-error	gaia	18	17,18,19	50	25	0	6	0.16	0.24	0.24
False	gpt-4o	step_by_step	correct-error	gaia	19	17,18,19	50	25	0	4	0.2	0.32	0.32
False	gpt-4o	binary_search	correct-error	gaia	17	17,18,19	50	25	0	0	0.0	0.0	0.0
False	gpt-4o	binary_search	correct-error	gaia	18	17,18,19	50	25	0	0	0.0	0.08	0.08
False	gpt-4o	binary_search	correct-error	gaia	19	17,18,19	50	25	0	0	0.0	0.08	0.08
False	gpt-4o	correct	correct-error	gaia	17	17,18,19	50	25	0	0	0.24	0.68	0.68
False	gpt-4o	correct	correct-error	gaia	18	17,18,19	50	25	0	0	0.28	0.76	0.76
False	gpt-4o	correct	correct-error	gaia	19	17,18,19	50	25	0	0	0.24	0.68	0.68
False	gpt-4o	chief	correct-error	gaia	17	17,18,19	50	25	0	0	0.36	0.68	0.68
False	gpt-4o	chief	correct-error	gaia	18	17,18,19	50	25	0	0	0.4	0.6	0.6
False	gpt-4o	chief	correct-error	gaia	19	17,18,19	50	25	0	0	0.24	0.6	0.6
False	gpt-4o	raffles	correct-error	gaia	17	17,18,19	50	25	0	0	0.68	0.84	0.84
False	gpt-4o	raffles	correct-error	gaia	18	17,18,19	50	25	0	0	0.68	0.84	0.84
False	gpt-4o	raffles	correct-error	gaia	19	17,18,19	50	25	0	0	0.6	0.8	0.8
False	gpt-5	all_at_once	correct-error	gaia	17	17,18,19	50	25	0	0	0.6	0.8	0.8
False	gpt-5	all_at_once	correct-error	gaia	18	17,18,19	50	25	0	0	0.56	0.8	0.8
False	gpt-5	all_at_once	correct-error	gaia	19	17,18,19	50	25	0	0	0.44	0.72	0.72
False	gpt-5	step_by_step	correct-error	gaia	17	17,18,19	50	25	0	0	0.52	0.6	0.6
False	gpt-5	step_by_step	correct-error	gaia	18	17,18,19	50	25	0	1	0.52	0.64	0.64
False	gpt-5	step_by_step	correct-error	gaia	19	17,18,19	50	25	0	1	0.52	0.56	0.56
False	gpt-5	binary_search	correct-error	gaia	17	17,18,19	50	25	0	0	0.88	0.76	0.76
False	gpt-5	binary_search	correct-error	gaia	18	17,18,19	50	25	0	0	0.84	0.8	0.8
False	gpt-5	binary_search	correct-error	gaia	19	17,18,19	50	25	0	0	0.76	0.72	0.72
False	gpt-5	correct	correct-error	gaia	17	17,18,19	50	25	0	0	0.48	0.8	0.8
False	gpt-5	correct	correct-error	gaia	18	17,18,19	50	25	0	0	0.4	0.8	0.8
False	gpt-5	correct	correct-error	gaia	19	17,18,19	50	25	0	0	0.4	0.76	0.76
False	gpt-4o	all_at_once	correct-error	hotpot	17	17,18,19	578	289	0	0	0.1522491349480969	0.7474048442906575	0.7474048442906575
False	gpt-4o	all_at_once	correct-error	hotpot	18	17,18,19	578	289	0	0	0.1245674740484429	0.7750865051903114	0.7750865051903114
False	gpt-4o	all_at_once	correct-error	hotpot	19	17,18,19	578	289	0	0	0.13494809688581316	0.726643598615917	0.726643598615917
False	gpt-4o	step_by_step	correct-error	hotpot	17	17,18,19	578	289	0	41	0.44982698961937717	0.5501730103806228	0.5501730103806228
False	gpt-4o	step_by_step	correct-error	hotpot	18	17,18,19	578	289	0	43	0.43944636678200694	0.5467128027681661	0.5467128027681661
False	gpt-4o	step_by_step	correct-error	hotpot	19	17,18,19	578	289	0	41	0.4429065743944637	0.5224913494809689	0.5224913494809689
False	gpt-4o	binary_search	correct-error	hotpot	17	17,18,19	578	289	0	0	0.10726643598615918	0.18339100346020762	0.18339100346020762
False	gpt-4o	binary_search	correct-error	hotpot	18	17,18,19	578	289	0	0	0.10726643598615918	0.16262975778546712	0.16262975778546712
False	gpt-4o	binary_search	correct-error	hotpot	19	17,18,19	578	289	0	0	0.11764705882352941	0.17301038062283736	0.17301038062283736
False	gpt-4o	correct	correct-error	hotpot	17	17,18,19	578	289	0	3	0.17993079584775087	0.7370242214532872	0.7370242214532872
False	gpt-4o	correct	correct-error	hotpot	18	17,18,19	578	289	0	2	0.19377162629757785	0.7439446366782007	0.7439446366782007
False	gpt-4o	correct	correct-error	hotpot	19	17,18,19	578	289	0	1	0.17647058823529413	0.7197231833910035	0.7197231833910035
False	gpt-4o	chief	correct-error	hotpot	17	17,18,19	578	289	0	0	0.2041522491349481	0.6608996539792388	0.6608996539792388
False	gpt-4o	chief	correct-error	hotpot	18	17,18,19	578	289	0	0	0.25259515570934254	0.6885813148788927	0.6885813148788927
False	gpt-4o	chief	correct-error	hotpot	19	17,18,19	578	289	0	0	0.2041522491349481	0.6885813148788927	0.6885813148788927
